V1	Pool number	Sample ID	Barcode Number	SampleID	sampleID	cohort	ID	brain_region	mouse_ID	fastq_name	plate	brain_region_long	age	sex	brain_region_sex
1	BA1	CA1_olf_1	1	CA1_olf_1	BulkSeq_olf_1	CA1	CA1_olf_1	olf	1	BA1_CA1_olf_1_1	P23	Olfactory bulb	12	Female	olf_Female
2	BA1	CA1_olf_2	2	CA1_olf_2	BulkSeq_olf_2	CA1	CA1_olf_2	olf	2	BA1_CA1_olf_2_1	P23	Olfactory bulb	26	Male	olf_Male
3	BA1	CA1_olf_3	3	CA1_olf_3	BulkSeq_olf_3	CA1	CA1_olf_3	olf	3	BA1_CA1_olf_3_1	P23	Olfactory bulb	12	Male	olf_Male
4	BA1	CA1_olf_4	4	CA1_olf_4	BulkSeq_olf_4	CA1	CA1_olf_4	olf	4	BA1_CA1_olf_4_1	P23	Olfactory bulb	12	Female	olf_Female
5	BA1	CA1_olf_5	13	CA1_olf_5	BulkSeq_olf_5	CA1	CA1_olf_5	olf	5	BA1_CA1_olf_5_1	P23	Olfactory bulb	26	Male	olf_Male
6	BA1	CA1_olf_6	14	CA1_olf_6	BulkSeq_olf_6	CA1	CA1_olf_6	olf	6	BA1_CA1_olf_6_1	P23	Olfactory bulb	12	Male	olf_Male
7	BA1	CA1_olf_7	15	CA1_olf_7	BulkSeq_olf_7	CA1	CA1_olf_7	olf	7	BA1_CA1_olf_7_1	P23	Olfactory bulb	12	Female	olf_Female
8	BA1	CA1_olf_8	16	CA1_olf_8	BulkSeq_olf_8	CA1	CA1_olf_8	olf	8	BA1_CA1_olf_8_1	P23	Olfactory bulb	26	Male	olf_Male
9	BA1	CA1_cor_22	25	CA1_cor_22	BulkSeq_cor_22	CA1	CA1_cor_22	cor	22	BA1_CA1_cor_22_1	P23	Motor cortex	15	Male	cor_Male
10	BA1	CA1_cor_23	26	CA1_cor_23	BulkSeq_cor_23	CA1	CA1_cor_23	cor	23	BA1_CA1_cor_23_1	P23	Motor cortex	18	Male	cor_Male
11	BA1	CA1_cor_24	27	CA1_cor_24	BulkSeq_cor_24	CA1	CA1_cor_24	cor	24	BA1_CA1_cor_24_1	P23	Motor cortex	21	Male	cor_Male
12	BA1	CA1_cor_25	28	CA1_cor_25	BulkSeq_cor_25	CA1	CA1_cor_25	cor	25	BA1_CA1_cor_25_1	P23	Motor cortex	3	Male	cor_Male
13	BA1	CA1_cor_26	29	CA1_cor_26	BulkSeq_cor_26	CA1	CA1_cor_26	cor	26	BA1_CA1_cor_26_1	P23	Motor cortex	15	Male	cor_Male
14	BA1	CA1_cor_27	30	CA1_cor_27	BulkSeq_cor_27	CA1	CA1_cor_27	cor	27	BA1_CA1_cor_27_1	P23	Motor cortex	18	Male	cor_Male
