mouse_ID	V1	Pool number	Sample ID	Barcode Number	SampleID	sampleID	cohort	ID	brain_region	brain_region_long	age	sex	experiment	mouseID	name	Experiment	treatment	months	cage	injection type	fastq_name
72	1223	BA77	CA2_cc_72	29	CA2_cc_72	BulkSeq_cc_72	CA2	CA2_cc_72	cc	Corpus callosum	19	Male	CA2	72	27	young mouse plasma	PBS	19	36846	retro-orbital	BA77_CA2_cc_72_1
73	1055	BA67	CA2_cc_73	13	CA2_cc_73	BulkSeq_cc_73	CA2	CA2_cc_73	cc	Corpus callosum	19	Male	CA2	73	28	young mouse plasma	old mice with young plasma	19	36848	retro-orbital	BA67_CA2_cc_73_1
76	1095	BA69	CA2_cc_76	29	CA2_cc_76	BulkSeq_cc_76	CA2	CA2_cc_76	cc	Corpus callosum	19	Male	CA2	76	31	young mouse plasma	PBS	19	36846	retro-orbital	BA69_CA2_cc_76_1
80	1047	BA66	CA2_cc_80	29	CA2_cc_80	BulkSeq_cc_80	CA2	CA2_cc_80	cc	Corpus callosum	19	Male	CA2	80	35	young mouse plasma	PBS	19	36543	retro-orbital	BA66_CA2_cc_80_1
81	1239	BA78	CA2_cc_81	29	CA2_cc_81	BulkSeq_cc_81	CA2	CA2_cc_81	cc	Corpus callosum	19	Male	CA2	81	36	young mouse plasma	old mice with young plasma	19	36848	retro-orbital	BA78_CA2_cc_81_1
84	808	BA51	CA2_cc_84	30	CA2_cc_84	BulkSeq_cc_84	CA2	CA2_cc_84	cc	Corpus callosum	19	Male	CA2	84	39	young mouse plasma	PBS	19	36543	retro-orbital	BA51_CA2_cc_84_1
72	1233	BA78	CA2_cer_72	15	CA2_cer_72	BulkSeq_cer_72	CA2	CA2_cer_72	cer	Cerebellum	19	Male	CA2	72	27	young mouse plasma	PBS	19	36846	retro-orbital	BA78_CA2_cer_72_1
73	1081	BA68	CA2_cer_73	31	CA2_cer_73	BulkSeq_cer_73	CA2	CA2_cer_73	cer	Cerebellum	19	Male	CA2	73	28	young mouse plasma	old mice with young plasma	19	36848	retro-orbital	BA68_CA2_cer_73_1
77	1137	BA72	CA2_cer_77	15	CA2_cer_77	BulkSeq_cer_77	CA2	CA2_cer_77	cer	Cerebellum	19	Male	CA2	77	32	young mouse plasma	old mice with young plasma	19	36848	retro-orbital	BA72_CA2_cer_77_1
80	1232	BA78	CA2_cer_80	14	CA2_cer_80	BulkSeq_cer_80	CA2	CA2_cer_80	cer	Cerebellum	19	Male	CA2	80	35	young mouse plasma	PBS	19	36543	retro-orbital	BA78_CA2_cer_80_1
81	982	BA62	CA2_cer_81	28	CA2_cer_81	BulkSeq_cer_81	CA2	CA2_cer_81	cer	Cerebellum	19	Male	CA2	81	36	young mouse plasma	old mice with young plasma	19	36848	retro-orbital	BA62_CA2_cer_81_1
84	729	BA46	CA2_cer_84	31	CA2_cer_84	BulkSeq_cer_84	CA2	CA2_cer_84	cer	Cerebellum	19	Male	CA2	84	39	young mouse plasma	PBS	19	36543	retro-orbital	BA46_CA2_cer_84_1
72	1220	BA77	CA2_cor_72	26	CA2_cor_72	BulkSeq_cor_72	CA2	CA2_cor_72	cor	Motor cortex	19	Male	CA2	72	27	young mouse plasma	PBS	19	36846	retro-orbital	BA77_CA2_cor_72_1
76	1092	BA69	CA2_cor_76	26	CA2_cor_76	BulkSeq_cor_76	CA2	CA2_cor_76	cor	Motor cortex	19	Male	CA2	76	31	young mouse plasma	PBS	19	36846	retro-orbital	BA69_CA2_cor_76_1
77	1116	BA71	CA2_cor_77	2	CA2_cor_77	BulkSeq_cor_77	CA2	CA2_cor_77	cor	Motor cortex	19	Male	CA2	77	32	young mouse plasma	old mice with young plasma	19	36848	retro-orbital	BA71_CA2_cor_77_1
80	1044	BA66	CA2_cor_80	26	CA2_cor_80	BulkSeq_cor_80	CA2	CA2_cor_80	cor	Motor cortex	19	Male	CA2	80	35	young mouse plasma	PBS	19	36543	retro-orbital	BA66_CA2_cor_80_1
81	1236	BA78	CA2_cor_81	26	CA2_cor_81	BulkSeq_cor_81	CA2	CA2_cor_81	cor	Motor cortex	19	Male	CA2	81	36	young mouse plasma	old mice with young plasma	19	36848	retro-orbital	BA78_CA2_cor_81_1
