reads_processed	reads_aligned	reads_aligned_percentage	not_aligned	not_aligned_percentage	multimapped	multimapped_percentage	Sample	Mismatches	fastq_name
22957824.0	56240.0	0.24	22901584.0	99.76	664.0	0.0	246264_S96	1	246264_S96
24061548.0	300542.0	1.25	23761006.0	98.75	384.0	0.0	285563_S43	1	285563_S43
23983566.0	1052454.0	4.39	22931112.0	95.61	287.0	0.0	482428_S71	1	482428_S71
23756397.0	133235.0	0.56	23623162.0	99.44	335.0	0.0	668310_S24	1	668310_S24
28117987.0	1033185.0	3.67	27084802.0	96.33	875.0	0.0	696418_S29	1	696418_S29
23362585.0	64698.0	0.28	23297887.0	99.72	252.0	0.0	1243685_S42	1	1243685_S42
30946697.0	214720.0	0.69	30731977.0	99.31	419.0	0.0	1797756_S46	1	1797756_S46
30421221.0	131289.0	0.43	30289932.0	99.57	290.0	0.0	2188675_S33	1	2188675_S33
26846841.0	292441.0	1.09	26554400.0	98.91	336.0	0.0	2525608_S70	1	2525608_S70
25770427.0	142998.0	0.55	25627429.0	99.45	592.0	0.0	2673641_S28	1	2673641_S28
31159711.0	67206.0	0.22	31092505.0	99.78	246.0	0.0	3052480_S93	1	3052480_S93
25786488.0	479346.0	1.86	25307142.0	98.14	415.0	0.0	3283241_S89	1	3283241_S89
31601285.0	158434.0	0.5	31442851.0	99.5	463.0	0.0	3713990_S56	1	3713990_S56
33908712.0	660704.0	1.95	33248008.0	98.05	746.0	0.0	3889845_S87	1	3889845_S87
29919256.0	148768.0	0.5	29770488.0	99.5	630.0	0.0	4127190_S30	1	4127190_S30
28938612.0	193859.0	0.67	28744753.0	99.33	220.0	0.0	4576591_S23	1	4576591_S23
33350632.0	251838.0	0.76	33098794.0	99.24	465.0	0.0	4879843_S6	1	4879843_S6
29213545.0	1016898.0	3.48	28196647.0	96.52	190.0	0.0	4947970_S24	1	4947970_S24
27649344.0	87839.0	0.32	27561505.0	99.68	729.0	0.0	4981936_S29	1	4981936_S29
