"Sample"	"3prime_overlapping_ncRNA"	"antisense"	"antisense;bidirectional_promoter_lncRNA"	"antisense;lincRNA"	"antisense;processed_transcript"	"antisense;sense_intronic"	"antisense;sense_overlapping"	"bidirectional_promoter_lncRNA"	"bidirectional_promoter_lncRNA;lincRNA"	"bidirectional_promoter_lncRNA;processed_transcript"	"IG_C_gene"	"IG_C_pseudogene"	"IG_D_gene"	"IG_J_gene"	"IG_J_gene;antisense"	"IG_J_gene;lincRNA"	"IG_LV_gene"	"IG_pseudogene"	"IG_V_gene"	"IG_V_pseudogene"	"lincRNA"	"lincRNA;processed_transcript"	"lincRNA;processed_transcript;sense_intronic"	"lincRNA;sense_intronic"	"lincRNA;sense_overlapping"	"macro_lncRNA"	"mapped_reads"	"miRNA"	"misc_RNA"	"Mt_rRNA"	"Mt_tRNA"	"piRNA"	"polymorphic_pseudogene"	"processed_pseudogene"	"processed_transcript"	"processed_transcript;sense_intronic"	"processed_transcript;sense_overlapping"	"protein_coding"	"pseudogene"	"ribozyme"	"rRNA"	"scaRNA"	"scRNA"	"sense_intronic"	"sense_overlapping"	"snoRNA"	"snRNA"	"sRNA"	"TEC"	"total assigned reads"	"TR_C_gene"	"TR_J_gene"	"TR_J_pseudogene"	"TR_V_gene"	"TR_V_gene;antisense"	"TR_V_gene;lincRNA"	"TR_V_pseudogene"	"TR_V_pseudogene;antisense"	"TR_V_pseudogene;sense_overlapping"	"transcribed_processed_pseudogene"	"transcribed_unitary_pseudogene"	"transcribed_unprocessed_pseudogene"	"translated_unprocessed_pseudogene"	"tRNA"	"unassigned"	"unitary_pseudogene"	"unprocessed_pseudogene"	"valid_reads"
"BA1_CA1_cor_22_1"	0	6233	3	138	25	1	2	348	7	1	96	0	0	0	0	0	0	0	3	1	87415	192	9	3	0	0	25072849	15641475	143352	293556	70930	1196978	57	962	108067	0	1	1994519	749	7360	715087	71116	0	1	51	4086105	119793	5	1148	24686742	1	1	0	1	0	0	1	0	0	202	154	370	0	136936	386107	1797	1490	31803710
"BA1_CA1_cor_23_1"	1	3589	0	83	10	0	1	212	2	1	25	1	0	0	0	0	0	0	2	1	62759	109	6	3	0	0	13419819	7405851	94046	209602	54274	588198	32	794	64606	0	0	1390221	493	5105	372659	42951	0	0	25	2629526	90549	2	989	13088087	1	0	0	2	0	0	0	0	0	125	77	270	1	68479	331732	1668	736	20733996
"BA1_CA1_cor_24_1"	0	4929	0	109	13	0	2	301	7	1	60	0	0	0	0	1	0	0	5	0	64105	131	4	2	2	0	18342343	10357551	121089	281997	71257	822510	35	815	70572	1	3	1844377	642	7762	555594	63219	0	0	35	3555004	125608	6	776	18054894	0	0	0	0	0	0	1	0	0	135	95	316	0	102464	287449	2290	1068	23674403
"BA1_CA1_cor_25_1"	0	4637	0	103	16	0	0	346	10	1	84	0	0	0	0	0	0	0	2	0	67755	135	0	3	3	0	17786698	10661200	109014	229793	83240	782745	43	1206	69376	0	0	1615805	660	6273	443670	61566	0	2	34	3000975	110310	1	1442	17351393	1	0	0	2	0	0	0	0	0	144	125	273	0	97487	435305	1878	1033	26307056
"BA1_CA1_cor_26_1"	0	4912	0	114	25	0	1	291	8	0	90	0	0	0	0	0	0	0	1	2	92601	140	3	2	0	0	18560076	9721963	116529	288803	82435	1068661	51	3004	77018	0	1	2132350	1125	7259	542844	63475	0	1	47	3244249	115511	6	3744	17666935	0	1	0	4	0	0	1	0	0	196	82	338	1	95689	893141	2272	1085	25285454
"BA1_CA1_cor_27_1"	0	4343	0	44	19	0	0	187	2	0	36	0	0	0	0	0	0	0	0	0	19179	79	0	5	2	0	9242491	3737070	37307	70194	15897	854070	17	656	22176	0	0	2457172	807	2122	293406	36530	0	1	24	1342245	65312	1	464	9023025	0	0	0	8	0	0	1	0	0	88	40	234	0	62523	219466	359	405	12851636
"BA1_CA1_cor_28_1"	0	4967	1	119	14	0	0	342	5	0	135	0	0	0	0	0	0	0	1	1	71900	180	0	4	3	0	23316051	13935564	145056	355595	79531	997948	52	870	93092	0	1	2157497	676	8893	732465	81765	0	0	31	4071234	132285	8	808	22994405	1	1	0	1	0	0	1	0	0	152	86	304	1	119072	321646	2597	1146	29319396
"BA1_CA1_cor_29_1"	0	2920	0	70	10	0	0	145	4	1	40	0	0	0	0	0	0	0	2	0	39141	73	2	0	3	0	13071171	9332820	66483	117075	33825	468546	23	589	31431	0	2	995641	338	2412	200365	29120	0	1	30	1421800	39514	2	814	12837850	1	1	0	3	3	0	1	0	0	97	36	191	0	52653	233321	1018	604	18384447
"BA1_CA1_olf_1_1"	0	4382	4	113	31	1	0	543	27	3	219	0	0	0	0	0	0	0	4	0	66116	175	4	8	1	0	35603954	30223654	85778	145098	37318	557046	68	1091	37267	0	1	932656	609	4006	295852	60924	0	2	51	2672236	48774	4	1046	35287335	0	0	0	1	2	0	2	0	0	215	144	392	0	109441	316619	1099	927	39253248
"BA1_CA1_olf_2_1"	0	2585	0	62	31	0	0	293	4	0	147	0	0	0	0	0	0	0	2	1	33467	128	1	1	2	0	21161172	17839491	46107	75079	17851	412662	23	723	18102	0	0	733581	461	2372	195622	35285	0	0	22	1450817	32046	5	633	20979383	0	0	0	4	0	0	0	0	0	166	123	223	0	79990	181789	780	491	23926934
