#Name	P-value	Info	Regulation_direction
1-phosphatidylinositol-3-kinase activity GO0016303	0.0180462	mmu-miR-5125,mmu-miR-340-5p,mmu-miR-15a-5p,mmu-miR-425-5p,mmu-miR-324-3p,mmu-miR-1981-5p,mmu-miR-3087-3p,mmu-miR-292a-3p,mmu-miR-342-3p,mmu-miR-873a-5p,mmu-miR-3470b,mmu-miR-9-5p,mmu-miR-362-3p,mmu-miR-1946a,mmu-miR-672-3p,mmu-miR-539-3p,mmu-miR-376c-3p,mmu-miR-329-3p,mmu-miR-377-3p,mmu-miR-301b-3p,mmu-miR-297a-5p,mmu-miR-542-3p,mmu-miR-466m-3p,mmu-miR-3110-5p,mmu-miR-381-3p,mmu-miR-466f-5p,mmu-miR-466q,mmu-miR-1195,mmu-miR-129-5p,mmu-miR-212-5p,mmu-miR-103-3p,mmu-miR-669c-3p,mmu-miR-669f-3p,mmu-miR-297b-3p,mmu-miR-466i-3p,mmu-miR-466a-3p,mmu-miR-466e-3p,mmu-miR-150-5p,mmu-miR-466c-3p,mmu-miR-466p-3p,mmu-miR-466b-3p,mmu-miR-466f-3p,mmu-miR-466d-3p,mmu-miR-467a-5p	0
2-5-oligoadenylate synthetase activity GO0001730	0.0113790	mmu-miR-362-3p,mmu-miR-329-3p,mmu-miR-466m-3p,mmu-miR-466g,mmu-miR-669f-3p,mmu-miR-297b-3p,mmu-miR-466i-3p,mmu-miR-466a-3p,mmu-miR-466e-3p,mmu-miR-1199-5p,mmu-miR-466f-3p,mmu-miR-466d-3p	0
3-5 RNA helicase activity GO0034458	0.0336110	mmu-miR-3074-1-3p,mmu-miR-669m-3p,mmu-miR-301b-3p,mmu-miR-297a-5p,mmu-miR-466n-3p,mmu-miR-669f-3p,mmu-miR-297b-3p,mmu-miR-466a-3p,mmu-miR-466e-3p,mmu-miR-466d-3p	0
3-flap-structured DNA binding GO0070337	0.0449719	mmu-miR-466i-5p,mmu-miR-466h-5p,mmu-miR-466j,mmu-miR-669m-5p,mmu-miR-466m-5p,mmu-miR-871-5p,mmu-miR-466k,mmu-miR-466n-5p,mmu-miR-466d-5p	0
3-hydroxyacyl-CoA dehydrogenase activity GO0003857	0.0292525	mmu-miR-324-3p,mmu-miR-466i-5p,mmu-miR-7b-5p,mmu-miR-362-3p,mmu-miR-376c-3p,mmu-miR-329-3p,mmu-miR-17-5p,mmu-miR-669l-5p,mmu-miR-669f-3p,mmu-miR-466i-3p,mmu-miR-669a-5p,mmu-miR-669p-5p,mmu-miR-466f-3p,mmu-miR-669f-5p,mmu-miR-466k,mmu-miR-466n-5p,mmu-miR-466d-5p	0
5S rRNA binding GO0008097	0.0395204	mmu-miR-142a-3p,mmu-miR-216a-5p,mmu-miR-5101,mmu-miR-30c-5p,mmu-miR-466i-5p,mmu-miR-30a-5p,mmu-miR-362-3p,mmu-miR-329-3p,mmu-miR-466h-5p,mmu-miR-669e-3p,mmu-miR-124-3p,mmu-miR-216b-5p,mmu-miR-466q,mmu-miR-466j,mmu-miR-129-5p,mmu-miR-669m-5p,mmu-miR-466m-5p,mmu-miR-669c-3p,mmu-miR-466i-3p,mmu-miR-466f-3p,mmu-miR-466k,mmu-miR-466n-5p,mmu-miR-466d-5p,mmu-miR-212-3p	0
8-hydroxy-2-deoxyguanosine DNA binding GO1905773	0.0449719	mmu-miR-466i-5p,mmu-miR-466h-5p,mmu-miR-466j,mmu-miR-669m-5p,mmu-miR-466m-5p,mmu-miR-871-5p,mmu-miR-466k,mmu-miR-466n-5p,mmu-miR-466d-5p	0
ABC-type sterol transporter activity GO0034041	0.0205622	mmu-miR-142a-5p,mmu-miR-340-5p,mmu-miR-24-3p,mmu-miR-33-5p,mmu-let-7b-5p,mmu-miR-19b-3p,mmu-miR-1981-5p	1
AMP binding GO0016208	0.0081730	mmu-miR-344d-3p,mmu-miR-344e-3p,mmu-miR-362-5p,mmu-miR-34b-5p,mmu-miR-19b-3p,mmu-miR-410-3p,mmu-miR-136-5p,mmu-miR-466i-5p,mmu-miR-139-5p,mmu-miR-448-3p,mmu-miR-9-5p,mmu-miR-362-3p,mmu-miR-669m-3p,mmu-miR-329-3p,mmu-miR-674-5p,mmu-miR-466h-5p,mmu-miR-495-3p,mmu-miR-466m-3p,mmu-miR-466j,mmu-miR-1195,mmu-miR-669m-5p,mmu-miR-466m-5p,mmu-miR-3473d,mmu-miR-412-3p,mmu-miR-466n-3p,mmu-miR-1983,mmu-miR-669i,mmu-miR-1188-5p,mmu-miR-669f-3p,mmu-miR-297b-3p,mmu-miR-466i-3p,mmu-miR-466a-3p,mmu-miR-466e-3p,mmu-miR-466c-3p,mmu-miR-466p-3p,mmu-miR-466b-3p,mmu-miR-466d-3p,mmu-miR-466k,mmu-miR-466n-5p,mmu-miR-466d-5p	0
ATP-dependent activity, acting on RNA GO0008186	0.0367073	mmu-miR-5101,mmu-miR-295-3p,mmu-miR-294-3p,mmu-miR-1298-5p,mmu-miR-302b-3p,mmu-miR-3074-1-3p,mmu-miR-669m-3p,mmu-miR-301b-3p,mmu-miR-302d-3p,mmu-miR-212-5p,mmu-miR-412-3p,mmu-miR-466n-3p,mmu-miR-1983,mmu-miR-3102-3p,mmu-miR-669f-3p,mmu-miR-297b-3p,mmu-miR-466a-3p,mmu-miR-466e-3p,mmu-miR-466d-3p,mmu-miR-669b-5p	0
