#Name	P-value	Info	Regulation_direction
3-5 RNA helicase activity GO0034458	0.0122225	mmu-miR-301b-3p,mmu-miR-3074-1-3p,mmu-miR-669m-3p,mmu-miR-297b-3p,mmu-miR-297a-5p,mmu-miR-466n-3p,mmu-miR-669f-3p,mmu-miR-466a-3p,mmu-miR-466e-3p,mmu-miR-466d-3p	0
AMP binding GO0016208	0.0395709	mmu-miR-362-3p,mmu-miR-344d-3p,mmu-miR-448-3p,mmu-miR-410-3p,mmu-miR-412-3p,mmu-miR-466k,mmu-miR-362-5p,mmu-miR-136-5p,mmu-miR-344e-3p,mmu-miR-3473d,mmu-miR-34b-5p,mmu-miR-139-5p,mmu-miR-466j,mmu-miR-1195,mmu-miR-669i,mmu-miR-19b-3p,mmu-miR-495-3p,mmu-miR-329-3p,mmu-miR-466i-3p,mmu-miR-669m-3p,mmu-miR-466m-5p,mmu-miR-297b-3p,mmu-miR-669m-5p,mmu-miR-466d-5p,mmu-miR-466n-5p,mmu-miR-9-5p,mmu-miR-466n-3p,mmu-miR-466i-5p,mmu-miR-1188-5p,mmu-miR-466m-3p,mmu-miR-466h-5p,mmu-miR-1983,mmu-miR-669f-3p,mmu-miR-674-5p,mmu-miR-466c-3p,mmu-miR-466p-3p,mmu-miR-466a-3p,mmu-miR-466e-3p,mmu-miR-466b-3p,mmu-miR-466d-3p	0
ATP-dependent activity, acting on RNA GO0008186	0.0440661	mmu-miR-295-3p,mmu-miR-3102-3p,mmu-miR-412-3p,mmu-miR-5101,mmu-miR-1298-5p,mmu-miR-301b-3p,mmu-miR-302d-3p,mmu-miR-3074-1-3p,mmu-miR-212-5p,mmu-miR-669m-3p,mmu-miR-297b-3p,mmu-miR-302b-3p,mmu-miR-466n-3p,mmu-miR-669b-5p,mmu-miR-1983,mmu-miR-669f-3p,mmu-miR-466a-3p,mmu-miR-466e-3p,mmu-miR-466d-3p,mmu-miR-294-3p	0
CENP-A containing chromatin assembly GO0034080	0.0238103	mmu-miR-450b-5p,mmu-miR-3066-5p,mmu-miR-129-5p,mmu-miR-297b-3p,mmu-miR-466m-3p,mmu-miR-466c-3p,mmu-miR-466p-3p,mmu-miR-466a-3p,mmu-miR-466e-3p,mmu-miR-466b-3p,mmu-miR-466d-3p,mmu-miR-541-5p	0
Fc-epsilon receptor I complex GO0032998	0.0074862	mmu-miR-669m-3p,mmu-miR-297b-3p,mmu-miR-466n-3p,mmu-miR-323-3p,mmu-miR-669f-3p,mmu-miR-466a-3p,mmu-miR-466e-3p,mmu-miR-466d-3p	0
IgM binding GO0001791	0.0074862	mmu-miR-669m-3p,mmu-miR-297b-3p,mmu-miR-466n-3p,mmu-miR-323-3p,mmu-miR-669f-3p,mmu-miR-466a-3p,mmu-miR-466e-3p,mmu-miR-466d-3p	0
L-serine-phosphatidylcholine phosphatidyltransferase activity GO0106258	0.0054586	mmu-miR-297b-3p,mmu-miR-466m-3p,mmu-miR-466c-3p,mmu-miR-466p-3p,mmu-miR-466a-3p,mmu-miR-466e-3p,mmu-miR-466b-3p,mmu-miR-466d-3p	0
L-serine-phosphatidylethanolamine phosphatidyltransferase activity GO0106245	0.0054586	mmu-miR-297b-3p,mmu-miR-466m-3p,mmu-miR-466c-3p,mmu-miR-466p-3p,mmu-miR-466a-3p,mmu-miR-466e-3p,mmu-miR-466b-3p,mmu-miR-466d-3p	0
MLL12 complex GO0044665	0.0074862	mmu-miR-1264-3p,mmu-miR-3062-5p,mmu-miR-466i-3p,mmu-miR-669m-3p,mmu-miR-297b-3p,mmu-miR-466n-3p,mmu-miR-466c-3p,mmu-miR-466p-3p,mmu-miR-466a-3p,mmu-miR-466e-3p,mmu-miR-466b-3p,mmu-miR-466d-3p	0
MLL34 complex GO0044666	0.0327545	mmu-miR-10a-5p,mmu-miR-339-5p,mmu-miR-15a-5p,mmu-miR-709,mmu-miR-665-3p,mmu-miR-1264-3p,mmu-miR-758-3p,mmu-miR-3082-5p,mmu-miR-5114,mmu-miR-1195,mmu-miR-466f-3p,mmu-miR-122-5p,mmu-miR-181a-5p,mmu-miR-876-5p,mmu-miR-3062-5p,mmu-miR-148a-3p,mmu-miR-466i-3p,mmu-miR-669m-3p,mmu-miR-297b-3p,mmu-miR-10b-5p,mmu-miR-466n-3p,mmu-miR-185-5p,mmu-miR-1199-5p,mmu-miR-466m-3p,mmu-miR-138-5p,mmu-miR-3475-3p,mmu-miR-669f-3p,mmu-miR-466c-3p,mmu-miR-466p-3p,mmu-miR-466a-3p,mmu-miR-466e-3p,mmu-miR-466b-3p,mmu-miR-466d-3p,mmu-miR-541-5p,mmu-miR-298-5p	0
N-acetyllactosaminide beta-1,3-N-acetylglucosaminyltransferase activity GO0008532	0.0304098	mmu-miR-362-3p,mmu-miR-297c-5p,mmu-miR-539-3p,mmu-miR-466f-3p,mmu-miR-381-3p,mmu-miR-329-3p,mmu-miR-297b-5p,mmu-miR-466i-3p,mmu-miR-297b-3p,mmu-miR-297a-5p,mmu-miR-466m-3p,mmu-miR-669f-3p,mmu-miR-466c-3p,mmu-miR-466p-3p,mmu-miR-466a-3p,mmu-miR-466e-3p,mmu-miR-466b-3p,mmu-miR-466d-3p	0
PET complex GO1990923	0.0294067	mmu-miR-17-5p,mmu-miR-466f-3p,mmu-miR-297b-3p,mmu-miR-466m-3p,mmu-miR-466c-3p,mmu-miR-466p-3p,mmu-miR-466a-3p,mmu-miR-466e-3p,mmu-miR-466b-3p,mmu-miR-466d-3p	0
RNA 5-end processing GO0000966	0.0294067	mmu-miR-17-5p,mmu-miR-466f-3p,mmu-miR-297b-3p,mmu-miR-466m-3p,mmu-miR-466c-3p,mmu-miR-466p-3p,mmu-miR-466a-3p,mmu-miR-466e-3p,mmu-miR-466b-3p,mmu-miR-466d-3p	0
U12 snRNA binding GO0030626	0.0331319	mmu-miR-350-3p,mmu-miR-1195,mmu-miR-1198-5p,mmu-miR-323-5p,mmu-miR-297b-3p,mmu-miR-190a-5p,mmu-miR-466n-3p,mmu-miR-466c-3p,mmu-miR-466p-3p,mmu-miR-466a-3p,mmu-miR-466e-3p,mmu-miR-466b-3p,mmu-miR-466d-3p,mmu-miR-5113	0
