#Name	P-value	Info	Regulation_direction
3-sulfino-L-alanine proton, glutamate antiporter activity GO0000514	0.0343411	mmu-miR-24-3p,mmu-miR-466i-5p,mmu-miR-466j,mmu-miR-669m-5p,mmu-miR-466k,mmu-miR-466m-5p,mmu-miR-466h-5p,mmu-miR-466f,mmu-miR-466d-5p,mmu-miR-466n-5p	0
AP-1 adaptor complex binding GO0035650	0.0055038	mmu-miR-466i-5p,mmu-miR-124-3p,mmu-miR-466a-5p,mmu-miR-466p-5p,mmu-miR-466j,mmu-miR-669m-5p,mmu-miR-1187,mmu-miR-451a,mmu-miR-466k,mmu-miR-466m-5p,mmu-miR-466h-5p,mmu-miR-9-5p,mmu-miR-466e-5p,mmu-miR-466d-5p,mmu-miR-466n-5p	0
D-aspartate import across plasma membrane GO0070779	0.0131197	mmu-miR-362-3p,mmu-miR-471-3p,mmu-miR-1306-5p,mmu-miR-340-5p,mmu-miR-324-3p,mmu-miR-547-3p,mmu-miR-669i,mmu-miR-466i-3p,mmu-miR-511-3p,mmu-miR-466i-5p,mmu-miR-199b-3p,mmu-miR-199a-3p,mmu-miR-488-3p,mmu-miR-301b-3p,mmu-miR-1198-5p,mmu-miR-297b-5p,mmu-miR-329-3p,mmu-miR-335-3p,mmu-miR-181a-5p,mmu-miR-377-3p,mmu-miR-466a-5p,mmu-miR-297c-5p,mmu-miR-466p-5p,mmu-miR-466a-3p,mmu-miR-466e-3p,mmu-miR-542-3p,mmu-miR-466j,mmu-miR-669f-3p,mmu-miR-669m-5p,mmu-miR-1187,mmu-miR-297b-3p,mmu-miR-466k,mmu-miR-297a-5p,mmu-miR-7b-5p,mmu-miR-466m-5p,mmu-miR-129-5p,mmu-miR-26a-5p,mmu-miR-448-3p,mmu-miR-149-5p,mmu-miR-466h-5p,mmu-miR-466d-3p,mmu-miR-9-5p,mmu-miR-466e-5p,mmu-miR-466d-5p,mmu-miR-466n-5p	0
GARP complex binding GO0062069	0.0490205	mmu-miR-362-3p,mmu-miR-466f-3p,mmu-miR-466i-3p,mmu-miR-511-3p,mmu-miR-466i-5p,mmu-miR-1198-5p,mmu-miR-297b-5p,mmu-miR-329-3p,mmu-miR-466a-5p,mmu-miR-297c-5p,mmu-miR-466p-5p,mmu-miR-466j,mmu-miR-669f-3p,mmu-miR-669m-5p,mmu-miR-1187,mmu-miR-466k,mmu-miR-297a-5p,mmu-miR-466q,mmu-miR-466m-5p,mmu-miR-129-5p,mmu-miR-466h-5p,mmu-miR-466e-5p,mmu-miR-466d-5p,mmu-miR-466n-5p	0
GTP 3,8-cyclase activity GO0061798	0.0444625	mmu-miR-431-5p,mmu-miR-466i-5p,mmu-miR-466a-5p,mmu-miR-466p-5p,mmu-miR-1187,mmu-miR-466k,mmu-miR-669e-5p,mmu-miR-466o-5p,mmu-miR-466b-5p,mmu-miR-466e-5p,mmu-miR-466c-5p,mmu-miR-466d-5p	0
G protein-coupled receptor binding GO0001664	0.0415884	mmu-miR-155-5p,mmu-miR-20a-5p,mmu-miR-24-3p,mmu-miR-362-3p,mmu-miR-1968-5p,mmu-miR-1981-5p,mmu-miR-181b-5p,mmu-miR-17-5p,mmu-miR-5101,mmu-miR-324-3p,mmu-miR-139-5p,mmu-miR-466f-3p,mmu-miR-3110-5p,mmu-miR-669k-3p,mmu-miR-16-5p,mmu-miR-466i-3p,mmu-miR-3470b,mmu-miR-19b-3p,mmu-miR-34b-5p,mmu-miR-33-5p,mmu-miR-425-5p,mmu-miR-466i-5p,mmu-miR-539-5p,mmu-miR-122-5p,mmu-let-7b-5p,mmu-miR-124-3p,mmu-miR-15a-5p,mmu-miR-3093-5p,mmu-miR-1912-3p,mmu-miR-3087-3p,mmu-miR-301b-3p,mmu-miR-411-5p,mmu-miR-743b-3p,mmu-miR-1a-3p,mmu-miR-5125,mmu-miR-764-3p,mmu-miR-297b-5p,mmu-miR-669h-3p,mmu-miR-30e-5p,mmu-miR-136-5p,mmu-miR-1195,mmu-miR-190a-5p,mmu-miR-106a-5p,mmu-miR-1843b-5p,mmu-miR-329-3p,mmu-miR-181a-5p,mmu-miR-377-3p,mmu-miR-200b-3p,mmu-miR-297c-5p,mmu-miR-3082-5p,mmu-miR-466b-3p,mmu-miR-3102-3p,mmu-miR-466c-3p,mmu-miR-466p-3p,mmu-miR-128-3p,mmu-miR-181d-5p,mmu-miR-669n,mmu-miR-135a-5p,mmu-miR-7023-3p,mmu-miR-669f-3p,mmu-miR-376c-3p,mmu-miR-409-5p,mmu-miR-665-3p,mmu-miR-451a,mmu-miR-669c-3p,mmu-miR-466k,mmu-miR-382-5p,mmu-miR-296-3p,mmu-miR-297a-5p,mmu-miR-7b-5p,mmu-miR-466q,mmu-miR-129-5p,mmu-miR-669b-5p,mmu-miR-26a-5p,mmu-miR-181c-5p,mmu-miR-466f,mmu-miR-9-5p,mmu-miR-541-5p,mmu-miR-669o-5p,mmu-miR-669c-5p,mmu-miR-466d-5p,mmu-miR-743a-3p	0
MutLalpha complex binding GO0032405	0.0343411	mmu-miR-871-5p,mmu-miR-466i-5p,mmu-miR-466j,mmu-miR-669m-5p,mmu-miR-376a-3p,mmu-miR-466k,mmu-miR-466m-5p,mmu-miR-466h-5p,mmu-miR-466d-5p,mmu-miR-466n-5p	0
TCR signalosome GO0036398	0.0343411	mmu-miR-210-3p,mmu-miR-466i-5p,mmu-miR-466j,mmu-miR-669m-5p,mmu-miR-466k,mmu-miR-466m-5p,mmu-miR-466h-5p,mmu-miR-466f,mmu-miR-466d-5p,mmu-miR-466n-5p	0
acrosomal vesicle exocytosis GO0060478	0.0487104	mmu-miR-466i-5p,mmu-miR-466k,mmu-miR-7b-5p,mmu-miR-149-5p,mmu-miR-466d-5p,mmu-miR-466n-5p	0
adenylate cyclase-modulating G protein-coupled receptor signaling pathway GO0007188	0.0336158	mmu-miR-24-3p,mmu-miR-362-3p,mmu-miR-1981-5p,mmu-miR-17-5p,mmu-miR-5101,mmu-miR-324-3p,mmu-miR-466f-3p,mmu-miR-134-5p,mmu-miR-3110-5p,mmu-miR-3572-3p,mmu-miR-129-1-3p,mmu-miR-466i-3p,mmu-miR-3470b,mmu-miR-374c-5p,mmu-miR-129-2-3p,mmu-miR-19b-3p,mmu-miR-466m-3p,mmu-miR-425-5p,mmu-miR-466i-5p,mmu-let-7b-5p,mmu-miR-15a-5p,mmu-miR-3087-3p,mmu-miR-301b-3p,mmu-miR-743b-3p,mmu-miR-5125,mmu-miR-133a-3p,mmu-miR-30e-5p,mmu-miR-190a-5p,mmu-miR-495-3p,mmu-miR-329-3p,mmu-miR-335-3p,mmu-miR-181a-5p,mmu-miR-466a-5p,mmu-miR-3097-3p,mmu-miR-466p-5p,mmu-miR-669f-3p,mmu-miR-1187,mmu-miR-451a,mmu-miR-466k,mmu-miR-296-3p,mmu-miR-297a-5p,mmu-miR-7b-5p,mmu-miR-129-5p,mmu-miR-669b-5p,mmu-miR-26a-5p,mmu-miR-503-5p,mmu-miR-149-5p,mmu-miR-466f,mmu-miR-9-5p,mmu-miR-541-5p,mmu-miR-669o-5p,mmu-miR-466o-5p,mmu-miR-466b-5p,mmu-miR-466e-5p,mmu-miR-466c-5p,mmu-miR-669c-5p,mmu-miR-466d-5p,mmu-miR-743a-3p	0
