#Name	P-value	Info	Regulation_direction
1-phosphatidylinositol-3-kinase activity GO0016303	0.0038039	mmu-miR-3087-3p,mmu-miR-292a-3p,mmu-miR-362-3p,mmu-miR-9-5p,mmu-miR-539-3p,mmu-miR-5125,mmu-miR-103-3p,mmu-miR-873a-5p,mmu-miR-466q,mmu-miR-15a-5p,mmu-miR-324-3p,mmu-miR-129-5p,mmu-miR-342-3p,mmu-miR-466f-5p,mmu-miR-672-3p,mmu-miR-1981-5p,mmu-miR-3470b,mmu-miR-377-3p,mmu-miR-425-5p,mmu-miR-340-5p,mmu-miR-3110-5p,mmu-miR-329-3p,mmu-miR-381-3p,mmu-miR-1195,mmu-miR-297a-5p,mmu-miR-1946a,mmu-miR-150-5p,mmu-miR-669c-3p,mmu-miR-466d-3p,mmu-miR-301b-3p,mmu-miR-542-3p,mmu-miR-212-5p,mmu-miR-466c-3p,mmu-miR-466p-3p,mmu-miR-297b-3p,mmu-miR-466a-3p,mmu-miR-466e-3p,mmu-miR-466f-3p,mmu-miR-466b-3p,mmu-miR-467a-5p,mmu-miR-466i-3p,mmu-miR-669f-3p,mmu-miR-466m-3p,mmu-miR-376c-3p	0
1-phosphatidylinositol-4-phosphate 3-kinase activity GO0035005	0.0032247	mmu-miR-3087-3p,mmu-miR-292a-3p,mmu-miR-9-5p,mmu-miR-5125,mmu-miR-324-3p,mmu-miR-129-5p,mmu-miR-1981-5p,mmu-miR-3470b,mmu-miR-3110-5p,mmu-miR-1195,mmu-miR-1946a,mmu-miR-150-5p,mmu-miR-466d-3p,mmu-miR-301b-3p,mmu-miR-212-5p,mmu-miR-466c-3p,mmu-miR-466p-3p,mmu-miR-297b-3p,mmu-miR-466a-3p,mmu-miR-466e-3p,mmu-miR-466f-3p,mmu-miR-466b-3p,mmu-miR-467a-5p,mmu-miR-376c-3p	0
2-5-oligoadenylate synthetase activity GO0001730	0.0015151	mmu-miR-362-3p,mmu-miR-466g,mmu-miR-329-3p,mmu-miR-466d-3p,mmu-miR-297b-3p,mmu-miR-466a-3p,mmu-miR-466e-3p,mmu-miR-466f-3p,mmu-miR-466i-3p,mmu-miR-1199-5p,mmu-miR-669f-3p,mmu-miR-466m-3p	0
2-oxoglutarate metabolic process GO0006103	0.0072044	mmu-miR-3097-3p,mmu-miR-5125,mmu-miR-664-3p,mmu-miR-34b-5p,mmu-miR-24-3p,mmu-miR-3473d,mmu-miR-3085-3p,mmu-miR-466n-3p,mmu-miR-30e-5p,mmu-miR-3064-5p,mmu-miR-466g,mmu-miR-181a-5p,mmu-miR-129-1-3p,mmu-miR-425-5p,mmu-miR-126a-5p,mmu-miR-136-5p,mmu-miR-340-5p,mmu-miR-302b-3p,mmu-miR-3110-5p,mmu-miR-129-2-3p,mmu-miR-674-5p,mmu-miR-669m-3p,mmu-miR-302d-3p,mmu-miR-150-5p,mmu-miR-466d-3p,mmu-miR-294-3p,mmu-miR-297b-3p,mmu-miR-466a-3p,mmu-miR-466e-3p,mmu-miR-541-5p,mmu-miR-295-3p	0
3-5 RNA helicase activity GO0034458	0.0071973	mmu-miR-3074-1-3p,mmu-miR-466n-3p,mmu-miR-669m-3p,mmu-miR-297a-5p,mmu-miR-466d-3p,mmu-miR-301b-3p,mmu-miR-297b-3p,mmu-miR-466a-3p,mmu-miR-466e-3p,mmu-miR-669f-3p	0
3-5 exonuclease activity GO0008408	0.0474373	mmu-miR-10a-5p,mmu-miR-339-5p,mmu-miR-140-5p,mmu-miR-3082-5p,mmu-miR-466k,mmu-miR-10b-5p,mmu-miR-124-3p,mmu-miR-665-3p,mmu-miR-466m-5p,mmu-miR-466i-5p,mmu-miR-871-5p,mmu-miR-1195,mmu-miR-669m-5p,mmu-miR-466j,mmu-miR-466h-5p,mmu-miR-466d-5p,mmu-miR-466n-5p	0
3-UTR-mediated mRNA stabilization GO0070935	0.0083907	mmu-miR-141-3p,mmu-miR-203-3p,mmu-miR-5116,mmu-miR-344d-3p,mmu-miR-877-5p,mmu-miR-344e-3p,mmu-miR-489-3p,mmu-miR-375-3p,mmu-miR-5101,mmu-miR-532-3p,mmu-miR-709,mmu-miR-29a-3p,mmu-miR-129-5p,mmu-miR-3085-3p,mmu-miR-342-3p,mmu-miR-362-5p,mmu-miR-466n-3p,mmu-miR-3064-5p,mmu-miR-181a-5p,mmu-miR-465b-5p,mmu-miR-410-3p,mmu-miR-129-1-3p,mmu-miR-433-3p,mmu-miR-205-5p,mmu-miR-340-5p,mmu-miR-31-5p,mmu-miR-124-3p,mmu-miR-665-3p,mmu-miR-129-2-3p,mmu-miR-128-3p,mmu-miR-501-5p,mmu-miR-669m-3p,mmu-miR-1195,mmu-miR-495-3p,mmu-miR-297a-5p,mmu-miR-150-5p,mmu-miR-466d-3p,mmu-miR-758-3p,mmu-miR-466c-3p,mmu-miR-466p-3p,mmu-miR-297b-3p,mmu-miR-466a-3p,mmu-miR-466e-3p,mmu-miR-466b-3p,mmu-miR-1199-5p,mmu-miR-669f-3p,mmu-miR-466m-3p,mmu-miR-298-5p	0
3-flap-structured DNA binding GO0070337	0.0077652	mmu-miR-466k,mmu-miR-466m-5p,mmu-miR-466i-5p,mmu-miR-871-5p,mmu-miR-669m-5p,mmu-miR-466j,mmu-miR-466h-5p,mmu-miR-466d-5p,mmu-miR-466n-5p	0
3-hydroxyacyl-CoA dehydrogenase activity GO0003857	0.0102514	mmu-miR-362-3p,mmu-miR-7b-5p,mmu-miR-466k,mmu-miR-324-3p,mmu-miR-669f-5p,mmu-miR-17-5p,mmu-miR-466i-5p,mmu-miR-329-3p,mmu-miR-466f-3p,mmu-miR-466i-3p,mmu-miR-669f-3p,mmu-miR-376c-3p,mmu-miR-466d-5p,mmu-miR-466n-5p,mmu-miR-669a-5p,mmu-miR-669p-5p,mmu-miR-669l-5p	0
4 iron, 4 sulfur cluster binding GO0051539	0.0166255	mmu-miR-876-5p,mmu-miR-146a-5p,mmu-miR-10a-5p,mmu-miR-339-5p,mmu-miR-3082-5p,mmu-miR-335-3p,mmu-miR-709,mmu-miR-431-5p,mmu-miR-29a-3p,mmu-miR-466k,mmu-miR-10b-5p,mmu-miR-466p-5p,mmu-miR-3085-3p,mmu-miR-466n-3p,mmu-miR-3064-5p,mmu-miR-29b-3p,mmu-miR-146b-5p,mmu-miR-338-3p,mmu-miR-29c-3p,mmu-miR-129-1-3p,mmu-miR-129-2-3p,mmu-miR-466a-5p,mmu-miR-466i-5p,mmu-miR-669m-3p,mmu-miR-1195,mmu-miR-466d-3p,mmu-miR-346-5p,mmu-miR-669e-5p,mmu-miR-297b-3p,mmu-miR-466a-3p,mmu-miR-466e-3p,mmu-miR-1199-5p,mmu-miR-466d-5p,mmu-miR-466c-5p,mmu-miR-298-5p,mmu-miR-466o-5p,mmu-miR-1187,mmu-miR-466b-5p,mmu-miR-466e-5p	0
5-3 DNA helicase activity GO0043139	0.0450434	mmu-miR-876-5p,mmu-miR-412-3p,mmu-miR-3097-3p,mmu-miR-5101,mmu-miR-709,mmu-miR-3102-3p,mmu-miR-3473d,mmu-miR-136-5p,mmu-miR-302b-3p,mmu-miR-124-3p,mmu-miR-674-5p,mmu-miR-1195,mmu-miR-302d-3p,mmu-miR-544-5p,mmu-miR-294-3p,mmu-miR-212-5p,mmu-miR-1983,mmu-miR-1199-5p,mmu-miR-298-5p,mmu-miR-295-3p	0
5-3 RNA exonuclease activity GO0004534	0.0202840	mmu-miR-3087-3p,mmu-miR-3085-3p,mmu-miR-342-3p,mmu-miR-3064-5p,mmu-miR-3470b,mmu-miR-377-3p,mmu-miR-129-1-3p,mmu-miR-17-5p,mmu-miR-129-2-3p,mmu-miR-470-5p,mmu-miR-380-3p,mmu-miR-495-3p,mmu-miR-301b-3p,mmu-miR-669b-5p	0
5-N7-methylguanosine 5-triphospho-mRNA hydrolase activity GO0140933	0.0282389	mmu-miR-3087-3p,mmu-miR-3085-3p,mmu-miR-342-3p,mmu-miR-3064-5p,mmu-miR-3470b,mmu-miR-377-3p,mmu-miR-129-1-3p,mmu-miR-340-5p,mmu-miR-129-2-3p,mmu-miR-470-5p,mmu-miR-380-3p,mmu-miR-495-3p,mmu-miR-5106	0
5-methylcytosine catabolic process GO0006211	0.0230594	mmu-miR-1931,mmu-miR-679-3p,mmu-miR-344d-3p,mmu-miR-344e-3p,mmu-miR-466k,mmu-miR-410-3p,mmu-miR-374b-5p,mmu-miR-466m-5p,mmu-miR-19b-3p,mmu-miR-466i-5p,mmu-miR-669m-5p,mmu-miR-369-3p,mmu-miR-466j,mmu-miR-466f-3p,mmu-miR-19a-3p,mmu-miR-466h-5p,mmu-miR-466d-5p,mmu-miR-466n-5p	0
5-methylcytosine metabolic process GO0019857	0.0230594	mmu-miR-1931,mmu-miR-679-3p,mmu-miR-344d-3p,mmu-miR-344e-3p,mmu-miR-466k,mmu-miR-410-3p,mmu-miR-374b-5p,mmu-miR-466m-5p,mmu-miR-19b-3p,mmu-miR-466i-5p,mmu-miR-669m-5p,mmu-miR-369-3p,mmu-miR-466j,mmu-miR-466f-3p,mmu-miR-19a-3p,mmu-miR-466h-5p,mmu-miR-466d-5p,mmu-miR-466n-5p	0
5S rRNA binding GO0008097	0.0304420	mmu-miR-362-3p,mmu-miR-142a-3p,mmu-miR-5101,mmu-miR-466k,mmu-miR-466q,mmu-miR-129-5p,mmu-miR-216a-5p,mmu-miR-30c-5p,mmu-miR-30a-5p,mmu-miR-216b-5p,mmu-miR-124-3p,mmu-miR-466m-5p,mmu-miR-669e-3p,mmu-miR-466i-5p,mmu-miR-329-3p,mmu-miR-669m-5p,mmu-miR-669c-3p,mmu-miR-212-3p,mmu-miR-466j,mmu-miR-466f-3p,mmu-miR-466i-3p,mmu-miR-466h-5p,mmu-miR-466d-5p,mmu-miR-466n-5p	0
8-hydroxy-2-deoxyguanosine DNA binding GO1905773	0.0077652	mmu-miR-466k,mmu-miR-466m-5p,mmu-miR-466i-5p,mmu-miR-871-5p,mmu-miR-669m-5p,mmu-miR-466j,mmu-miR-466h-5p,mmu-miR-466d-5p,mmu-miR-466n-5p	0
9+0 non-motile cilium GO0097731	0.0070232	mmu-miR-1912-3p,mmu-miR-181c-5p,mmu-miR-26a-5p,mmu-miR-466k,mmu-miR-181d-5p,mmu-miR-15a-5p,mmu-miR-324-5p,mmu-miR-326-3p,mmu-miR-139-5p,mmu-miR-181b-5p,mmu-miR-377-3p,mmu-miR-181a-5p,mmu-miR-425-5p,mmu-miR-136-5p,mmu-miR-124-3p,mmu-miR-374b-5p,mmu-miR-466m-5p,mmu-miR-125b-5p,mmu-miR-466i-5p,mmu-miR-495-3p,mmu-miR-669m-5p,mmu-miR-369-3p,mmu-miR-301b-3p,mmu-miR-466j,mmu-miR-466c-3p,mmu-miR-466p-3p,mmu-miR-466b-3p,mmu-miR-466h-5p,mmu-miR-466d-5p,mmu-miR-466n-5p	0
AMP binding GO0016208	0.0014670	mmu-miR-362-3p,mmu-miR-344d-3p,mmu-miR-9-5p,mmu-miR-344e-3p,mmu-miR-412-3p,mmu-miR-1188-5p,mmu-miR-34b-5p,mmu-miR-466k,mmu-miR-3473d,mmu-miR-139-5p,mmu-miR-362-5p,mmu-miR-466n-3p,mmu-miR-448-3p,mmu-miR-410-3p,mmu-miR-136-5p,mmu-miR-466m-5p,mmu-miR-669i,mmu-miR-674-5p,mmu-miR-19b-3p,mmu-miR-466i-5p,mmu-miR-329-3p,mmu-miR-669m-3p,mmu-miR-1195,mmu-miR-495-3p,mmu-miR-669m-5p,mmu-miR-466d-3p,mmu-miR-466j,mmu-miR-466c-3p,mmu-miR-466p-3p,mmu-miR-297b-3p,mmu-miR-466a-3p,mmu-miR-466e-3p,mmu-miR-466b-3p,mmu-miR-1983,mmu-miR-466i-3p,mmu-miR-669f-3p,mmu-miR-466m-3p,mmu-miR-466h-5p,mmu-miR-466d-5p,mmu-miR-466n-5p	0
AP-1 adaptor complex binding GO0035650	0.0042053	mmu-miR-9-5p,mmu-miR-466k,mmu-miR-466p-5p,mmu-miR-124-3p,mmu-miR-466m-5p,mmu-miR-466a-5p,mmu-miR-466i-5p,mmu-miR-669m-5p,mmu-miR-466j,mmu-miR-451a,mmu-miR-466h-5p,mmu-miR-466d-5p,mmu-miR-466n-5p,mmu-miR-1187,mmu-miR-466e-5p	0
AP-3 adaptor complex GO0030123	0.0195177	mmu-miR-1943-5p,mmu-miR-3473a,mmu-miR-15a-5p,mmu-miR-216a-5p,mmu-miR-1843a-5p,mmu-miR-136-5p,mmu-miR-17-5p,mmu-miR-340-5p,mmu-miR-124-3p,mmu-miR-374b-5p,mmu-miR-19b-3p,mmu-miR-1195,mmu-miR-3062-5p,mmu-miR-297a-5p,mmu-miR-369-3p,mmu-miR-185-5p	0
