#Name	P-value	Info	Regulation_direction
1-acylglycerol-3-phosphate O-acyltransferase activity GO0003841	0.0434305	mmu-miR-876-5p,mmu-miR-339-5p,mmu-miR-3082-5p,mmu-miR-665-3p,mmu-miR-1199-5p,mmu-miR-24-3p,mmu-miR-741-3p,mmu-miR-342-3p,mmu-miR-377-3p,mmu-miR-149-5p,mmu-miR-425-5p,mmu-miR-1195,mmu-miR-10b-5p,mmu-miR-709,mmu-miR-128-3p,mmu-miR-124-3p,mmu-miR-10a-5p,mmu-miR-669h-3p,mmu-miR-376c-3p,mmu-miR-185-5p,mmu-miR-340-5p,mmu-miR-298-5p,mmu-miR-669k-3p,mmu-miR-3473a,mmu-miR-3066-5p,mmu-miR-26a-5p,mmu-miR-466h-3p,mmu-miR-466c-3p,mmu-miR-466p-3p,mmu-miR-466b-3p	0
1-phosphatidylinositol-3-kinase activity GO0016303	0.0059954	mmu-miR-324-3p,mmu-miR-539-3p,mmu-miR-362-3p,mmu-miR-3087-3p,mmu-miR-15a-5p,mmu-miR-1946a,mmu-miR-103-3p,mmu-miR-1981-5p,mmu-miR-301b-3p,mmu-miR-672-3p,mmu-miR-873a-5p,mmu-miR-342-3p,mmu-miR-542-3p,mmu-miR-129-5p,mmu-miR-381-3p,mmu-miR-377-3p,mmu-miR-425-5p,mmu-miR-1195,mmu-miR-9-5p,mmu-miR-669c-3p,mmu-miR-212-5p,mmu-miR-5125,mmu-miR-376c-3p,mmu-miR-297a-5p,mmu-miR-340-5p,mmu-miR-329-3p,mmu-miR-3110-5p,mmu-miR-466i-3p,mmu-miR-3470b,mmu-miR-467a-5p,mmu-miR-292a-3p,mmu-miR-466f-3p,mmu-miR-466q,mmu-miR-150-5p,mmu-miR-466m-3p,mmu-miR-466f-5p,mmu-miR-466c-3p,mmu-miR-466p-3p,mmu-miR-466b-3p,mmu-miR-466a-3p,mmu-miR-466e-3p,mmu-miR-669f-3p,mmu-miR-466d-3p,mmu-miR-297b-3p	0
1-phosphatidylinositol-4-phosphate 3-kinase activity GO0035005	0.0037899	mmu-miR-324-3p,mmu-miR-3087-3p,mmu-miR-1946a,mmu-miR-1981-5p,mmu-miR-301b-3p,mmu-miR-129-5p,mmu-miR-1195,mmu-miR-9-5p,mmu-miR-212-5p,mmu-miR-5125,mmu-miR-376c-3p,mmu-miR-3110-5p,mmu-miR-3470b,mmu-miR-467a-5p,mmu-miR-292a-3p,mmu-miR-466f-3p,mmu-miR-150-5p,mmu-miR-466c-3p,mmu-miR-466p-3p,mmu-miR-466b-3p,mmu-miR-466a-3p,mmu-miR-466e-3p,mmu-miR-466d-3p,mmu-miR-297b-3p	0
14-3-3 protein binding GO0071889	0.0033945	mmu-miR-3076-5p,mmu-miR-155-5p,mmu-miR-1955-5p,mmu-miR-339-5p,mmu-miR-466i-5p,mmu-miR-378b,mmu-miR-324-3p,mmu-miR-338-3p,mmu-miR-362-3p,mmu-miR-210-3p,mmu-miR-574-3p,mmu-miR-29b-1-5p,mmu-miR-29a-3p,mmu-miR-15a-5p,mmu-miR-214-3p,mmu-miR-221-3p,mmu-miR-19b-3p,mmu-miR-544-3p,mmu-miR-301b-3p,mmu-let-7b-5p,mmu-miR-181b-5p,mmu-miR-101a-3p,mmu-miR-758-3p,mmu-miR-181a-5p,mmu-miR-741-3p,mmu-miR-199a-3p,mmu-miR-129-5p,mmu-miR-532-5p,mmu-miR-126a-5p,mmu-miR-149-5p,mmu-miR-425-5p,mmu-miR-466k,mmu-miR-34b-5p,mmu-miR-10b-5p,mmu-miR-181c-5p,mmu-miR-709,mmu-miR-7a-5p,mmu-miR-204-5p,mmu-miR-494-3p,mmu-miR-9-5p,mmu-miR-10a-5p,mmu-miR-145a-5p,mmu-miR-495-3p,mmu-miR-541-5p,mmu-miR-138-5p,mmu-miR-342-5p,mmu-miR-30e-5p,mmu-miR-211-5p,mmu-miR-297a-5p,mmu-miR-5129-5p,mmu-miR-125b-5p,mmu-miR-329-3p,mmu-miR-298-5p,mmu-miR-7b-5p,mmu-miR-466i-3p,mmu-miR-670-5p,mmu-miR-125a-5p,mmu-miR-143-3p,mmu-miR-182-5p,mmu-miR-181d-5p,mmu-miR-466f-3p,mmu-miR-351-5p,mmu-miR-466q,mmu-miR-3098-3p,mmu-miR-466d-5p,mmu-miR-466n-5p,mmu-miR-26a-5p,mmu-miR-466h-5p,mmu-miR-150-5p,mmu-miR-466m-3p,mmu-miR-466c-3p,mmu-miR-466p-3p,mmu-miR-466b-3p,mmu-miR-669f-3p,mmu-miR-669d-5p,mmu-miR-466m-5p,mmu-miR-669m-5p,mmu-miR-466j,mmu-miR-3058-5p	0
2-5-oligoadenylate synthetase activity GO0001730	0.0009368710358490566	mmu-miR-362-3p,mmu-miR-1199-5p,mmu-miR-329-3p,mmu-miR-466i-3p,mmu-miR-466g,mmu-miR-466f-3p,mmu-miR-466m-3p,mmu-miR-466a-3p,mmu-miR-466e-3p,mmu-miR-669f-3p,mmu-miR-466d-3p,mmu-miR-297b-3p	0
2-oxoglutarate-dependent dioxygenase activity GO0016706	0.0356690	mmu-miR-155-5p,mmu-miR-203-3p,mmu-miR-324-3p,mmu-miR-338-3p,mmu-miR-362-3p,mmu-miR-501-5p,mmu-miR-17-5p,mmu-miR-362-5p,mmu-miR-20a-5p,mmu-let-7b-5p,mmu-miR-667-3p,mmu-miR-489-3p,mmu-miR-129-5p,mmu-miR-425-5p,mmu-miR-374b-5p,mmu-miR-136-5p,mmu-miR-297c-5p,mmu-miR-124-3p,mmu-miR-6908-3p,mmu-miR-511-3p,mmu-miR-669c-3p,mmu-miR-342-5p,mmu-miR-5125,mmu-miR-30e-5p,mmu-miR-297b-5p,mmu-miR-297a-5p,mmu-miR-340-5p,mmu-miR-329-3p,mmu-miR-3110-5p,mmu-miR-298-5p,mmu-miR-7b-5p,mmu-miR-466i-3p,mmu-miR-369-3p,mmu-miR-143-3p,mmu-miR-466f-3p,mmu-miR-466q,mmu-miR-466b-5p,mmu-miR-466o-5p,mmu-miR-466c-5p	0
3-5 DNA helicase activity GO0043138	0.0389195	mmu-miR-5114,mmu-miR-876-5p,mmu-miR-339-5p,mmu-miR-466i-5p,mmu-miR-201-5p,mmu-miR-324-3p,mmu-miR-871-5p,mmu-miR-223-3p,mmu-miR-139-3p,mmu-miR-1199-5p,mmu-miR-532-3p,mmu-miR-490-5p,mmu-miR-24-3p,mmu-miR-708-5p,mmu-miR-466k,mmu-miR-1195,mmu-miR-101c,mmu-miR-10b-5p,mmu-miR-709,mmu-miR-7a-5p,mmu-miR-669c-3p,mmu-miR-10a-5p,mmu-miR-541-5p,mmu-miR-297a-5p,mmu-miR-129-1-3p,mmu-miR-28a-5p,mmu-miR-298-5p,mmu-miR-129-2-3p,mmu-miR-7b-5p,mmu-miR-1964-5p,mmu-miR-466f-3p,mmu-miR-3473b,mmu-miR-466q,mmu-miR-466d-5p,mmu-miR-466n-5p,mmu-miR-466h-5p,mmu-miR-669d-5p,mmu-miR-466m-5p,mmu-miR-669m-5p,mmu-miR-466j	0
3-5 RNA helicase activity GO0034458	0.0486725	mmu-miR-3074-1-3p,mmu-miR-669m-3p,mmu-miR-301b-3p,mmu-miR-297a-5p,mmu-miR-466n-3p,mmu-miR-466a-3p,mmu-miR-466e-3p,mmu-miR-669f-3p,mmu-miR-466d-3p,mmu-miR-297b-3p	0
3-UTR-mediated mRNA destabilization GO0061158	0.0156012	mmu-miR-5114,mmu-miR-1933-3p,mmu-miR-188-3p,mmu-miR-146a-5p,mmu-miR-488-3p,mmu-miR-338-3p,mmu-miR-27a-5p,mmu-miR-362-3p,mmu-miR-17-5p,mmu-miR-223-3p,mmu-miR-743b-3p,mmu-miR-29a-3p,mmu-miR-15a-5p,mmu-miR-743a-3p,mmu-let-7b-5p,mmu-miR-190a-5p,mmu-miR-21a-5p,mmu-miR-758-3p,mmu-miR-129-5p,mmu-miR-377-3p,mmu-miR-126a-5p,mmu-let-7e-5p,mmu-let-7a-5p,mmu-miR-136-5p,mmu-miR-297c-5p,mmu-miR-5119,mmu-miR-128-3p,mmu-miR-9-5p,mmu-miR-495-3p,mmu-miR-30e-5p,mmu-miR-185-5p,mmu-miR-297b-5p,mmu-miR-297a-5p,mmu-miR-434-3p,mmu-miR-3097-3p,mmu-miR-125b-5p,mmu-miR-340-5p,mmu-miR-329-3p,mmu-miR-3057-3p,mmu-miR-466i-3p,mmu-miR-670-5p,mmu-miR-125a-5p,mmu-miR-466n-3p,mmu-miR-1964-5p,mmu-miR-466f-3p,mmu-miR-351-5p,mmu-miR-471-3p,mmu-miR-3473a,mmu-miR-466q,mmu-miR-466h-5p,mmu-miR-150-5p,mmu-miR-466m-3p,mmu-miR-466m-5p,mmu-miR-669m-5p,mmu-miR-466j	0
3-flap-structured DNA binding GO0070337	0.0114853	mmu-miR-466i-5p,mmu-miR-871-5p,mmu-miR-466k,mmu-miR-466d-5p,mmu-miR-466n-5p,mmu-miR-466h-5p,mmu-miR-466m-5p,mmu-miR-669m-5p,mmu-miR-466j	0
3-hydroxyacyl-CoA dehydrogenase activity GO0003857	0.0052467	mmu-miR-466i-5p,mmu-miR-324-3p,mmu-miR-362-3p,mmu-miR-17-5p,mmu-miR-466k,mmu-miR-376c-3p,mmu-miR-329-3p,mmu-miR-7b-5p,mmu-miR-466i-3p,mmu-miR-466f-3p,mmu-miR-466d-5p,mmu-miR-466n-5p,mmu-miR-669f-5p,mmu-miR-669f-3p,mmu-miR-669a-5p,mmu-miR-669p-5p,mmu-miR-669l-5p	0
3-sulfino-L-alanine proton, glutamate antiporter activity GO0000514	0.0034702	mmu-miR-466i-5p,mmu-miR-24-3p,mmu-miR-466k,mmu-miR-466d-5p,mmu-miR-466n-5p,mmu-miR-466h-5p,mmu-miR-466f,mmu-miR-466m-5p,mmu-miR-669m-5p,mmu-miR-466j	0
4 iron, 4 sulfur cluster binding GO0051539	0.0300399	mmu-miR-876-5p,mmu-miR-146a-5p,mmu-miR-339-5p,mmu-miR-466i-5p,mmu-miR-3082-5p,mmu-miR-338-3p,mmu-miR-431-5p,mmu-miR-29a-3p,mmu-miR-1199-5p,mmu-miR-669m-3p,mmu-miR-346-5p,mmu-miR-3085-3p,mmu-miR-29b-3p,mmu-miR-29c-3p,mmu-miR-146b-5p,mmu-miR-466k,mmu-miR-1195,mmu-miR-10b-5p,mmu-miR-709,mmu-miR-10a-5p,mmu-miR-3064-5p,mmu-miR-129-1-3p,mmu-miR-298-5p,mmu-miR-129-2-3p,mmu-miR-335-3p,mmu-miR-466n-3p,mmu-miR-466e-5p,mmu-miR-1187,mmu-miR-466a-5p,mmu-miR-466d-5p,mmu-miR-466p-5p,mmu-miR-466b-5p,mmu-miR-466o-5p,mmu-miR-466a-3p,mmu-miR-466e-3p,mmu-miR-466d-3p,mmu-miR-297b-3p,mmu-miR-466c-5p,mmu-miR-669e-5p	0
