#Name	P-value	Info	Regulation_direction
GARP complex binding GO0062069	0.0460448	mmu-miR-511-3p,mmu-miR-466q,mmu-miR-466i-3p,mmu-miR-466i-5p,mmu-miR-669f-3p,mmu-miR-297b-5p,mmu-miR-466a-5p,mmu-miR-362-3p,mmu-miR-329-3p,mmu-miR-466p-5p,mmu-miR-297a-5p,mmu-miR-466m-5p,mmu-miR-466f-3p,mmu-miR-669m-5p,mmu-miR-466h-5p,mmu-miR-466j,mmu-miR-297c-5p,mmu-miR-466d-5p,mmu-miR-466n-5p,mmu-miR-466e-5p,mmu-miR-466k,mmu-miR-1198-5p,mmu-miR-1187,mmu-miR-129-5p	0
L-phenylalanine transmembrane transporter activity GO0015192	0.0388989	mmu-miR-466i-3p,mmu-miR-362-3p,mmu-miR-324-3p,mmu-miR-329-3p,mmu-miR-466m-3p,mmu-miR-377-3p,mmu-miR-466f-3p,mmu-miR-7b-5p,mmu-miR-342-3p,mmu-miR-466b-3p,mmu-miR-466a-3p,mmu-miR-466c-3p,mmu-miR-466e-3p,mmu-miR-466p-3p,mmu-miR-297b-3p,mmu-miR-466d-3p,mmu-miR-149-5p	0
L-serine-phosphatidylcholine phosphatidyltransferase activity GO0106258	0.0388989	mmu-miR-466m-3p,mmu-miR-466b-3p,mmu-miR-466a-3p,mmu-miR-466c-3p,mmu-miR-466e-3p,mmu-miR-466p-3p,mmu-miR-297b-3p,mmu-miR-466d-3p	0
L-serine-phosphatidylethanolamine phosphatidyltransferase activity GO0106245	0.0388989	mmu-miR-466m-3p,mmu-miR-466b-3p,mmu-miR-466a-3p,mmu-miR-466c-3p,mmu-miR-466e-3p,mmu-miR-466p-3p,mmu-miR-297b-3p,mmu-miR-466d-3p	0
MLL12 complex GO0044665	0.0460448	mmu-miR-669m-3p,mmu-miR-466i-3p,mmu-miR-1264-3p,mmu-miR-466b-3p,mmu-miR-466a-3p,mmu-miR-466c-3p,mmu-miR-466e-3p,mmu-miR-466p-3p,mmu-miR-297b-3p,mmu-miR-466n-3p,mmu-miR-466d-3p,mmu-miR-3062-5p	0
N-acetyllactosaminide beta-1,3-N-acetylglucosaminyltransferase activity GO0008532	0.0483645	mmu-miR-539-3p,mmu-miR-466i-3p,mmu-miR-669f-3p,mmu-miR-297b-5p,mmu-miR-362-3p,mmu-miR-329-3p,mmu-miR-466m-3p,mmu-miR-381-3p,mmu-miR-297a-5p,mmu-miR-466f-3p,mmu-miR-297c-5p,mmu-miR-466b-3p,mmu-miR-466a-3p,mmu-miR-466c-3p,mmu-miR-466e-3p,mmu-miR-466p-3p,mmu-miR-297b-3p,mmu-miR-466d-3p	0
U12-type spliceosomal complex GO0005689	0.0299635	mmu-miR-190a-5p,mmu-miR-3085-3p,mmu-miR-3064-5p,mmu-miR-181a-5p,mmu-miR-136-5p,mmu-miR-1195,mmu-miR-350-3p,mmu-miR-465b-5p,mmu-miR-323-5p,mmu-miR-5113,mmu-miR-466b-3p,mmu-miR-466a-3p,mmu-miR-466c-3p,mmu-miR-466e-3p,mmu-miR-466p-3p,mmu-miR-297b-3p,mmu-miR-466n-3p,mmu-miR-466d-3p,mmu-miR-1198-5p,mmu-miR-3470b,mmu-miR-3087-3p,mmu-miR-149-5p,mmu-miR-129-5p	0
U12 snRNA binding GO0030626	0.0299635	mmu-miR-190a-5p,mmu-miR-1195,mmu-miR-350-3p,mmu-miR-323-5p,mmu-miR-5113,mmu-miR-466b-3p,mmu-miR-466a-3p,mmu-miR-466c-3p,mmu-miR-466e-3p,mmu-miR-466p-3p,mmu-miR-297b-3p,mmu-miR-466n-3p,mmu-miR-466d-3p,mmu-miR-1198-5p	0
amylin receptor signaling pathway GO0097647	0.0461902	mmu-miR-466i-3p,mmu-miR-466i-5p,mmu-miR-339-5p,mmu-miR-10b-5p,mmu-miR-466a-5p,mmu-miR-362-3p,mmu-miR-329-3p,mmu-miR-466p-5p,mmu-miR-466o-5p,mmu-miR-466b-5p,mmu-miR-466d-5p,mmu-miR-466e-5p,mmu-miR-466k,mmu-miR-10a-5p,mmu-miR-1187,mmu-miR-466c-5p	0
apolipoprotein A-I receptor activity GO0034188	0.0493933	mmu-miR-26a-5p,mmu-miR-17-5p,mmu-miR-301b-3p,mmu-miR-33-5p,mmu-miR-340-5p,mmu-miR-144-3p,mmu-miR-425-5p,mmu-miR-223-3p,mmu-miR-758-3p,mmu-miR-33-3p,mmu-miR-9-5p	1
cardiac ventricle formation GO0003211	0.0388989	mmu-miR-106b-5p,mmu-miR-20a-5p,mmu-miR-27a-3p,mmu-miR-34b-5p,mmu-miR-26a-5p,mmu-miR-344e-3p,mmu-miR-29b-1-5p,mmu-miR-93-5p,mmu-miR-17-5p,mmu-miR-653-5p,mmu-miR-340-5p,mmu-miR-24-3p,mmu-miR-344d-3p,mmu-miR-223-3p,mmu-miR-20b-5p,mmu-miR-27b-3p,mmu-miR-5101,mmu-miR-125b-1-3p,mmu-miR-362-5p,mmu-miR-106a-5p,mmu-miR-335-3p,mmu-miR-30e-5p,mmu-miR-495-3p,mmu-miR-410-3p,mmu-miR-673-5p,mmu-miR-122-5p,mmu-miR-204-5p,mmu-miR-132-3p	1
cellular response to high density lipoprotein particle stimulus GO0071403	0.0299635	mmu-miR-142a-5p,mmu-miR-26a-5p,mmu-miR-1981-5p,mmu-miR-17-5p,mmu-miR-301b-3p,mmu-miR-33-5p,mmu-miR-340-5p,mmu-miR-24-3p,mmu-miR-144-3p,mmu-miR-425-5p,mmu-miR-223-3p,mmu-miR-19b-3p,mmu-miR-758-3p,mmu-miR-33-3p,mmu-miR-124-3p,mmu-miR-9-5p,mmu-let-7b-5p	1
