#Name	P-value	Info	Regulation_direction
1-3-beta-D-glucan binding GO0001872	0.0142538	mmu-miR-323-5p,mmu-miR-466i-5p,mmu-miR-1188-5p,mmu-miR-342-3p,mmu-miR-466k,mmu-miR-362-3p,mmu-miR-329-3p,mmu-miR-466h-5p,mmu-miR-466i-3p,mmu-miR-224-5p,mmu-miR-669m-5p,mmu-miR-466m-5p,mmu-miR-466j,mmu-miR-466d-5p,mmu-miR-466n-5p	0
1-3-beta-D-glucan immune receptor activity GO0001874	0.0193016	mmu-miR-323-5p,mmu-miR-466i-5p,mmu-miR-1188-5p,mmu-miR-342-3p,mmu-miR-466k,mmu-miR-362-3p,mmu-miR-329-3p,mmu-miR-466h-5p,mmu-miR-466i-3p,mmu-miR-669m-5p,mmu-miR-466m-5p,mmu-miR-466j,mmu-miR-466d-5p,mmu-miR-466n-5p	0
1-phosphatidylinositol-3-kinase activity GO0016303	0.0055214	mmu-miR-340-5p,mmu-miR-15a-5p,mmu-miR-873a-5p,mmu-miR-212-5p,mmu-miR-301b-3p,mmu-miR-129-5p,mmu-miR-466m-3p,mmu-miR-376c-3p,mmu-miR-377-3p,mmu-miR-1946a,mmu-miR-466q,mmu-miR-1195,mmu-miR-3087-3p,mmu-miR-1981-5p,mmu-miR-539-3p,mmu-miR-324-3p,mmu-miR-342-3p,mmu-miR-362-3p,mmu-miR-381-3p,mmu-miR-5125,mmu-miR-425-5p,mmu-miR-103-3p,mmu-miR-672-3p,mmu-miR-9-5p,mmu-miR-542-3p,mmu-miR-3470b,mmu-miR-467a-5p,mmu-miR-3110-5p,mmu-miR-329-3p,mmu-miR-466i-3p,mmu-miR-669c-3p,mmu-miR-466f-3p,mmu-miR-466f-5p,mmu-miR-297b-3p,mmu-miR-669f-3p,mmu-miR-150-5p,mmu-miR-297a-5p,mmu-miR-466a-3p,mmu-miR-466e-3p,mmu-miR-466d-3p,mmu-miR-466c-3p,mmu-miR-466p-3p,mmu-miR-466b-3p,mmu-miR-292a-3p	0
1-phosphatidylinositol-4-phosphate 3-kinase activity GO0035005	0.0199514	mmu-miR-212-5p,mmu-miR-301b-3p,mmu-miR-129-5p,mmu-miR-376c-3p,mmu-miR-1946a,mmu-miR-1195,mmu-miR-3087-3p,mmu-miR-1981-5p,mmu-miR-324-3p,mmu-miR-5125,mmu-miR-9-5p,mmu-miR-3470b,mmu-miR-467a-5p,mmu-miR-3110-5p,mmu-miR-466f-3p,mmu-miR-297b-3p,mmu-miR-150-5p,mmu-miR-466a-3p,mmu-miR-466e-3p,mmu-miR-466d-3p,mmu-miR-466c-3p,mmu-miR-466p-3p,mmu-miR-466b-3p,mmu-miR-292a-3p	0
2-5-oligoadenylate synthetase activity GO0001730	0.0249131	mmu-miR-466m-3p,mmu-miR-1199-5p,mmu-miR-466g,mmu-miR-362-3p,mmu-miR-329-3p,mmu-miR-466i-3p,mmu-miR-466f-3p,mmu-miR-297b-3p,mmu-miR-669f-3p,mmu-miR-466a-3p,mmu-miR-466e-3p,mmu-miR-466d-3p	0
3-5 RNA helicase activity GO0034458	0.0134942	mmu-miR-301b-3p,mmu-miR-669m-3p,mmu-miR-3074-1-3p,mmu-miR-466n-3p,mmu-miR-297b-3p,mmu-miR-669f-3p,mmu-miR-297a-5p,mmu-miR-466a-3p,mmu-miR-466e-3p,mmu-miR-466d-3p	0
3-UTR-mediated mRNA stabilization GO0070935	0.0488930	mmu-miR-5116,mmu-miR-29a-3p,mmu-miR-340-5p,mmu-miR-5101,mmu-miR-203-3p,mmu-miR-410-3p,mmu-miR-128-3p,mmu-miR-344d-3p,mmu-miR-129-2-3p,mmu-miR-501-5p,mmu-miR-495-3p,mmu-miR-31-5p,mmu-miR-465b-5p,mmu-miR-758-3p,mmu-miR-141-3p,mmu-miR-129-1-3p,mmu-miR-362-5p,mmu-miR-665-3p,mmu-miR-129-5p,mmu-miR-124-3p,mmu-miR-466m-3p,mmu-miR-1199-5p,mmu-miR-433-3p,mmu-miR-1195,mmu-miR-3085-3p,mmu-miR-669m-3p,mmu-miR-344e-3p,mmu-miR-709,mmu-miR-342-3p,mmu-miR-3064-5p,mmu-miR-489-3p,mmu-miR-532-3p,mmu-miR-181a-5p,mmu-miR-466n-3p,mmu-miR-205-5p,mmu-miR-877-5p,mmu-miR-297b-3p,mmu-miR-669f-3p,mmu-miR-375-3p,mmu-miR-150-5p,mmu-miR-297a-5p,mmu-miR-466a-3p,mmu-miR-466e-3p,mmu-miR-466d-3p,mmu-miR-466c-3p,mmu-miR-466p-3p,mmu-miR-466b-3p,mmu-miR-298-5p	0
3-flap-structured DNA binding GO0070337	0.0307886	mmu-miR-466i-5p,mmu-miR-871-5p,mmu-miR-466k,mmu-miR-466h-5p,mmu-miR-669m-5p,mmu-miR-466m-5p,mmu-miR-466j,mmu-miR-466d-5p,mmu-miR-466n-5p	0
3-hydroxyacyl-CoA dehydrogenase activity GO0003857	0.0139398	mmu-miR-7b-5p,mmu-miR-376c-3p,mmu-miR-466i-5p,mmu-miR-324-3p,mmu-miR-466k,mmu-miR-669a-5p,mmu-miR-669p-5p,mmu-miR-362-3p,mmu-miR-329-3p,mmu-miR-466i-3p,mmu-miR-669l-5p,mmu-miR-466f-3p,mmu-miR-669f-5p,mmu-miR-17-5p,mmu-miR-669f-3p,mmu-miR-466d-5p,mmu-miR-466n-5p	0
3-oxoacyl-acyl-carrier-protein synthase activity GO0004315	0.0207576	mmu-miR-470-5p,mmu-miR-107-3p,mmu-miR-466i-5p,mmu-miR-331-5p,mmu-miR-709,mmu-miR-466k,mmu-miR-3086-3p,mmu-miR-103-3p,mmu-miR-466h-5p,mmu-miR-532-3p,mmu-miR-669m-5p,mmu-miR-466m-5p,mmu-miR-466j,mmu-miR-466d-5p,mmu-miR-466n-5p,mmu-miR-298-5p	0
3-phosphoadenosine 5-phosphosulfate metabolic process GO0050427	0.0156092	mmu-miR-155-5p,mmu-miR-223-3p,mmu-miR-5101	1
3-sulfino-L-alanine proton, glutamate antiporter activity GO0000514	0.0211506	mmu-miR-24-3p,mmu-miR-466i-5p,mmu-miR-466k,mmu-miR-466h-5p,mmu-miR-466f,mmu-miR-669m-5p,mmu-miR-466m-5p,mmu-miR-466j,mmu-miR-466d-5p,mmu-miR-466n-5p	0
7SK snRNA binding GO0097322	0.0196015	mmu-miR-340-5p,mmu-miR-15a-5p,mmu-miR-1843b-5p,mmu-miR-223-3p,mmu-miR-24-3p,mmu-miR-7b-5p,mmu-miR-369-3p,mmu-miR-1a-3p,mmu-miR-16-5p,mmu-miR-410-3p,mmu-miR-344d-3p,mmu-miR-212-5p,mmu-miR-22-3p,mmu-miR-136-5p,mmu-miR-377-3p,mmu-miR-874-3p,mmu-miR-466q,mmu-miR-374b-5p,mmu-miR-344e-3p,mmu-miR-362-3p,mmu-miR-329-3p,mmu-miR-297a-5p	1
8-hydroxy-2-deoxyguanosine DNA binding GO1905773	0.0307886	mmu-miR-466i-5p,mmu-miR-871-5p,mmu-miR-466k,mmu-miR-466h-5p,mmu-miR-669m-5p,mmu-miR-466m-5p,mmu-miR-466j,mmu-miR-466d-5p,mmu-miR-466n-5p	0
AMP binding GO0016208	0.0030643	mmu-miR-34b-5p,mmu-miR-410-3p,mmu-miR-344d-3p,mmu-miR-495-3p,mmu-miR-136-5p,mmu-miR-362-5p,mmu-miR-466m-3p,mmu-miR-139-5p,mmu-miR-674-5p,mmu-miR-3473d,mmu-miR-1195,mmu-miR-466i-5p,mmu-miR-669m-3p,mmu-miR-344e-3p,mmu-miR-448-3p,mmu-miR-1188-5p,mmu-miR-466k,mmu-miR-362-3p,mmu-miR-9-5p,mmu-miR-329-3p,mmu-miR-466h-5p,mmu-miR-466i-3p,mmu-miR-466n-3p,mmu-miR-669i,mmu-miR-669m-5p,mmu-miR-466m-5p,mmu-miR-466j,mmu-miR-297b-3p,mmu-miR-669f-3p,mmu-miR-466d-5p,mmu-miR-466n-5p,mmu-miR-19b-3p,mmu-miR-412-3p,mmu-miR-466a-3p,mmu-miR-466e-3p,mmu-miR-466d-3p,mmu-miR-466c-3p,mmu-miR-466p-3p,mmu-miR-466b-3p,mmu-miR-1983	0
AMP biosynthetic process GO0006167	0.0437045	mmu-miR-124-3p,mmu-miR-674-5p,mmu-miR-3473d,mmu-miR-3085-3p,mmu-miR-3064-5p,mmu-miR-149-5p,mmu-miR-362-3p,mmu-miR-5125,mmu-miR-9-5p,mmu-miR-3110-5p,mmu-miR-329-3p,mmu-miR-466i-3p,mmu-miR-653-5p	0
ATP-dependent DNA damage sensor activity GO0140664	0.0432537	mmu-miR-743a-3p,mmu-miR-582-3p,mmu-miR-1264-3p,mmu-miR-337-3p,mmu-miR-328-3p,mmu-miR-543-3p,mmu-miR-3085-3p,mmu-miR-669m-3p,mmu-miR-3073a-5p,mmu-miR-3064-5p,mmu-miR-181d-5p,mmu-miR-362-3p,mmu-miR-181b-5p,mmu-miR-5125,mmu-miR-3110-5p,mmu-miR-329-3p,mmu-miR-743b-3p,mmu-miR-466i-3p,mmu-miR-181a-5p,mmu-miR-466n-3p,mmu-miR-181c-5p,mmu-miR-297b-3p,mmu-miR-669f-3p,mmu-miR-466a-3p,mmu-miR-466e-3p,mmu-miR-466d-3p	0
ATP-dependent activity, acting on RNA GO0008186	0.0207905	mmu-miR-5101,mmu-miR-1298-5p,mmu-miR-212-5p,mmu-miR-301b-3p,mmu-miR-302b-3p,mmu-miR-302d-3p,mmu-miR-669m-3p,mmu-miR-295-3p,mmu-miR-3074-1-3p,mmu-miR-3102-3p,mmu-miR-466n-3p,mmu-miR-669b-5p,mmu-miR-297b-3p,mmu-miR-669f-3p,mmu-miR-412-3p,mmu-miR-466a-3p,mmu-miR-466e-3p,mmu-miR-466d-3p,mmu-miR-1983,mmu-miR-294-3p	0
ATP metabolic process GO0046034	0.0303180	mmu-miR-34b-5p,mmu-miR-155-5p,mmu-miR-340-5p,mmu-miR-15a-5p,mmu-miR-223-3p,mmu-miR-30e-5p,mmu-miR-24-3p,mmu-miR-7b-5p,mmu-miR-190a-5p,mmu-miR-1a-3p,mmu-miR-5101,mmu-miR-26a-5p,mmu-miR-301b-3p,mmu-miR-129-5p,mmu-miR-124-3p,mmu-miR-466m-3p,mmu-miR-324-3p,mmu-miR-181b-5p,mmu-miR-425-5p,mmu-miR-541-5p,mmu-miR-9-5p,mmu-miR-181a-5p,mmu-miR-466f-3p,mmu-miR-17-5p,mmu-miR-466c-3p,mmu-miR-466p-3p,mmu-miR-466b-3p	1
B-1 B cell homeostasis GO0001922	0.0094598	mmu-miR-29b-3p,mmu-miR-101a-3p,mmu-miR-20b-5p,mmu-miR-155-5p,mmu-miR-223-3p,mmu-miR-24-3p,mmu-miR-23a-3p,mmu-miR-5101,mmu-miR-106a-5p,mmu-miR-101b-3p,mmu-miR-873a-5p,mmu-miR-210-3p,mmu-miR-31-5p,mmu-miR-144-3p,mmu-miR-136-5p,mmu-miR-129-5p,mmu-miR-124-3p,mmu-miR-107-3p,mmu-miR-324-3p,mmu-miR-199a-5p,mmu-miR-375-3p,mmu-miR-17-3p	1
B cell mediated immunity GO0019724	0.0052805	mmu-miR-15a-5p,mmu-miR-23a-3p,mmu-miR-16-5p,mmu-miR-23b-3p,mmu-miR-350-3p	1
CCR5 chemokine receptor binding GO0031730	0.0389607	mmu-miR-146a-5p,mmu-miR-223-3p,mmu-miR-23a-3p,mmu-miR-106a-5p,mmu-miR-125a-5p,mmu-miR-362-5p,mmu-miR-129-5p,mmu-miR-124-3p,mmu-miR-3082-3p,mmu-miR-376b-3p,mmu-miR-125b-5p,mmu-miR-1195,mmu-miR-669m-3p,mmu-miR-709,mmu-miR-106b-5p,mmu-miR-3102-3p,mmu-let-7b-5p,mmu-miR-93-5p,mmu-miR-181a-5p,mmu-miR-20a-5p,mmu-miR-466n-3p,mmu-miR-17-5p,mmu-miR-297b-3p,mmu-miR-669f-3p,mmu-miR-375-3p,mmu-miR-19b-3p,mmu-miR-351-5p,mmu-miR-466a-3p,mmu-miR-466e-3p,mmu-miR-466d-3p	0
CD4-positive, alpha-beta T cell proliferation GO0035739	0.0008379759702857142	mmu-miR-20b-5p,mmu-miR-27b-3p,mmu-miR-223-3p,mmu-miR-24-3p,mmu-miR-743a-3p,mmu-miR-27a-3p,mmu-miR-5101,mmu-miR-106a-5p,mmu-miR-26a-5p,mmu-miR-142a-5p,mmu-miR-511-3p,mmu-miR-210-3p,mmu-miR-301b-3p,mmu-miR-466m-3p,mmu-miR-1198-5p,mmu-miR-466p-5p,mmu-miR-297b-5p,mmu-miR-466a-5p,mmu-miR-466i-5p,mmu-miR-669m-3p,mmu-miR-331-5p,mmu-miR-466k,mmu-miR-106b-5p,mmu-miR-743b-3p,mmu-miR-1187,mmu-miR-466h-5p,mmu-miR-93-5p,mmu-miR-20a-5p,mmu-miR-466n-3p,mmu-miR-297c-5p,mmu-miR-673-5p,mmu-miR-466e-5p,mmu-miR-669m-5p,mmu-miR-466m-5p,mmu-miR-466j,mmu-miR-17-5p,mmu-miR-297b-3p,mmu-miR-150-5p,mmu-miR-466d-5p,mmu-miR-466n-5p,mmu-miR-19b-3p,mmu-miR-297a-5p,mmu-miR-466a-3p,mmu-miR-466e-3p,mmu-miR-466d-3p,mmu-miR-466c-3p,mmu-miR-466p-3p,mmu-miR-466b-3p	0
CD8-positive, alpha-beta T cell differentiation involved in immune response GO0002302	0.0132414	mmu-miR-29b-3p,mmu-miR-146a-5p,mmu-miR-29a-3p,mmu-miR-125a-5p	1
CD8 receptor binding GO0042610	0.0228960	mmu-miR-126a-5p,mmu-miR-301b-3p,mmu-miR-129-5p,mmu-miR-328-3p,mmu-miR-335-5p,mmu-miR-486b-5p,mmu-miR-324-3p,mmu-miR-486a-5p,mmu-miR-181d-5p,mmu-miR-3093-5p,mmu-miR-181b-5p,mmu-miR-331-3p,mmu-miR-3058-5p,mmu-miR-3074-1-3p,mmu-miR-669n,mmu-miR-1968-5p,mmu-miR-181a-5p,mmu-miR-673-3p,mmu-miR-181c-5p,mmu-miR-409-3p,mmu-miR-669c-5p	0
CENP-A containing chromatin assembly GO0034080	0.0139398	mmu-miR-3066-5p,mmu-miR-129-5p,mmu-miR-466m-3p,mmu-miR-450b-5p,mmu-miR-541-5p,mmu-miR-297b-3p,mmu-miR-466a-3p,mmu-miR-466e-3p,mmu-miR-466d-3p,mmu-miR-466c-3p,mmu-miR-466p-3p,mmu-miR-466b-3p	0
COP9 signalosome assembly GO0010387	0.0207576	mmu-miR-15a-5p,mmu-miR-27a-3p,mmu-miR-16-5p	1
COPI vesicle coat GO0030126	0.0310141	mmu-miR-34b-5p,mmu-miR-15a-5p,mmu-miR-223-3p,mmu-miR-30e-5p,mmu-miR-7b-5p,mmu-miR-190a-5p,mmu-miR-26a-5p,mmu-miR-122-5p,mmu-miR-1943-5p,mmu-miR-149-5p,mmu-miR-541-5p	1
CSF1-CSF1R complex GO1990682	0.0197960	mmu-miR-30d-5p,mmu-miR-30b-5p,mmu-miR-30e-5p,mmu-miR-30a-5p,mmu-miR-30c-5p,mmu-miR-504-5p,mmu-miR-129-5p,mmu-miR-384-5p	1
Cdc73Paf1 complex GO0016593	0.0415926	mmu-miR-362-3p,mmu-miR-9-5p,mmu-miR-329-3p,mmu-miR-466i-3p,mmu-miR-466f-3p	0
D-aspartate import across plasma membrane GO0070779	0.0065424	mmu-miR-488-3p,mmu-miR-547-3p,mmu-miR-340-5p,mmu-miR-7b-5p,mmu-miR-26a-5p,mmu-miR-511-3p,mmu-miR-301b-3p,mmu-miR-129-5p,mmu-miR-1198-5p,mmu-miR-335-3p,mmu-miR-377-3p,mmu-miR-466p-5p,mmu-miR-297b-5p,mmu-miR-466a-5p,mmu-miR-466i-5p,mmu-miR-448-3p,mmu-miR-324-3p,mmu-miR-466k,mmu-miR-149-5p,mmu-miR-362-3p,mmu-miR-1306-5p,mmu-miR-9-5p,mmu-miR-199b-3p,mmu-miR-199a-3p,mmu-miR-542-3p,mmu-miR-329-3p,mmu-miR-471-3p,mmu-miR-1187,mmu-miR-466h-5p,mmu-miR-466i-3p,mmu-miR-181a-5p,mmu-miR-297c-5p,mmu-miR-669i,mmu-miR-466e-5p,mmu-miR-669m-5p,mmu-miR-466m-5p,mmu-miR-466j,mmu-miR-297b-3p,mmu-miR-669f-3p,mmu-miR-466d-5p,mmu-miR-466n-5p,mmu-miR-297a-5p,mmu-miR-466a-3p,mmu-miR-466e-3p,mmu-miR-466d-3p	0
