#Name	P-value	Info	Regulation_direction
1-phosphatidylinositol 4-kinase activity GO0004430	0.0475429	mmu-miR-15a-5p,mmu-miR-758-3p,mmu-miR-34b-5p,mmu-miR-301b-3p,mmu-miR-181a-5p	1
2,4-dienoyl-CoA reductase NADPH activity GO0008670	0.0163757	mmu-miR-10a-5p,mmu-miR-205-5p,mmu-miR-329-3p,mmu-miR-1264-3p,mmu-miR-10b-5p,mmu-miR-665-3p,mmu-miR-339-5p,mmu-miR-362-3p,mmu-miR-298-5p,mmu-miR-466i-3p,mmu-miR-3082-5p,mmu-miR-139-5p	1
2-oxoglutarate-dependent dioxygenase activity GO0016706	0.0347193	mmu-miR-155-5p,mmu-miR-338-3p,mmu-miR-5125,mmu-miR-203-3p,mmu-miR-340-5p,mmu-miR-489-3p,mmu-miR-362-5p,mmu-miR-329-3p,mmu-miR-30e-5p,mmu-miR-20a-5p,mmu-miR-501-5p,mmu-miR-369-3p,mmu-miR-425-5p,mmu-miR-297a-5p,mmu-miR-17-5p,mmu-miR-362-3p,mmu-miR-298-5p,mmu-miR-136-5p,mmu-miR-511-3p,mmu-miR-342-5p,mmu-miR-466i-3p,mmu-miR-324-3p,mmu-miR-466c-5p,mmu-miR-466q,mmu-miR-297b-5p,mmu-miR-7b-5p,mmu-miR-667-3p,mmu-miR-466f-3p,mmu-miR-297c-5p,mmu-miR-374b-5p,mmu-miR-3110-5p,mmu-miR-6908-3p,mmu-miR-669c-3p,mmu-miR-466b-5p,mmu-miR-466o-5p,mmu-miR-143-3p,mmu-miR-124-3p,mmu-miR-129-5p,mmu-let-7b-5p	1
3-UTR-mediated mRNA destabilization GO0061158	0.0225350	mmu-miR-15a-5p,mmu-miR-146a-5p,mmu-miR-338-3p,mmu-miR-190a-5p,mmu-miR-758-3p,mmu-miR-27a-5p,mmu-miR-340-5p,mmu-miR-223-3p,mmu-miR-21a-5p,mmu-miR-29a-3p,mmu-miR-329-3p,mmu-miR-30e-5p,mmu-miR-188-3p,mmu-miR-495-3p,mmu-miR-3057-3p,mmu-miR-125b-5p,mmu-miR-669m-5p,mmu-miR-377-3p,mmu-miR-466m-5p,mmu-miR-434-3p,mmu-miR-297a-5p,mmu-miR-3097-3p,mmu-miR-17-5p,mmu-miR-362-3p,mmu-miR-128-3p,mmu-miR-125a-5p,mmu-miR-1964-5p,mmu-miR-466j,mmu-miR-136-5p,mmu-miR-466i-3p,mmu-miR-185-5p,mmu-miR-670-5p,mmu-miR-466q,mmu-miR-126a-5p,mmu-miR-743a-3p,mmu-miR-297b-5p,mmu-miR-466h-5p,mmu-miR-466f-3p,mmu-miR-297c-5p,mmu-miR-5119,mmu-miR-1933-3p,mmu-miR-488-3p,mmu-miR-466m-3p,mmu-miR-743b-3p,mmu-miR-150-5p,mmu-miR-5114,mmu-miR-466n-3p,mmu-miR-351-5p,mmu-miR-3473a,mmu-let-7a-5p,mmu-miR-129-5p,mmu-let-7e-5p,mmu-let-7b-5p,mmu-miR-9-5p,mmu-miR-471-3p	1
7SK snRNA binding GO0097322	0.0097388	mmu-miR-15a-5p,mmu-miR-340-5p,mmu-miR-223-3p,mmu-miR-1a-3p,mmu-miR-329-3p,mmu-miR-1843b-5p,mmu-miR-16-5p,mmu-miR-369-3p,mmu-miR-377-3p,mmu-miR-24-3p,mmu-miR-22-3p,mmu-miR-297a-5p,mmu-miR-362-3p,mmu-miR-344d-3p,mmu-miR-136-5p,mmu-miR-410-3p,mmu-miR-466q,mmu-miR-7b-5p,mmu-miR-344e-3p,mmu-miR-374b-5p,mmu-miR-212-5p,mmu-miR-874-3p	1
A1 adenosine receptor binding GO0031686	0.0088218	mmu-miR-340-5p,mmu-miR-329-3p,mmu-miR-495-3p,mmu-miR-320-3p,mmu-miR-362-3p	1
ABC-type sterol transporter activity GO0034041	0.0486761	mmu-miR-33-5p,mmu-miR-142a-5p,mmu-miR-19b-3p,mmu-miR-340-5p,mmu-miR-24-3p,mmu-miR-1981-5p,mmu-let-7b-5p	1
AMP-activated protein kinase activity GO0004679	0.0371829	mmu-miR-340-5p,mmu-miR-34b-5p,mmu-miR-592-5p,mmu-miR-362-5p,mmu-miR-329-3p,mmu-miR-335-3p,mmu-miR-350-3p,mmu-miR-495-3p,mmu-miR-3057-3p,mmu-miR-335-5p,mmu-miR-362-3p,mmu-miR-669f-3p,mmu-miR-101b-3p,mmu-miR-466q,mmu-miR-144-3p,mmu-miR-669b-5p,mmu-miR-451a,mmu-miR-149-5p,mmu-miR-669n	1
AP-2 adaptor complex GO0030122	0.0038971	mmu-miR-10a-5p,mmu-miR-758-3p,mmu-miR-29c-3p,mmu-miR-223-3p,mmu-miR-29b-3p,mmu-miR-126a-3p,mmu-miR-30b-5p,mmu-miR-29a-3p,mmu-miR-30e-5p,mmu-miR-30d-5p,mmu-miR-10b-5p,mmu-miR-574-5p,mmu-miR-30c-5p,mmu-miR-30a-5p,mmu-miR-425-5p,mmu-miR-24-3p,mmu-miR-17-5p,mmu-miR-665-3p,mmu-miR-339-5p,mmu-miR-3109-3p,mmu-miR-702-3p,mmu-miR-3102-3p,mmu-miR-431-5p,mmu-miR-669e-5p,mmu-miR-384-5p,mmu-miR-466i-3p,mmu-miR-324-3p,mmu-miR-7b-5p,mmu-miR-3082-5p,mmu-miR-466f-3p,mmu-miR-3093-5p,mmu-miR-5101,mmu-miR-466m-3p,mmu-miR-1927,mmu-miR-1199-5p,mmu-miR-1195,mmu-miR-709,mmu-miR-1958,mmu-miR-26a-5p,mmu-miR-541-5p,mmu-miR-9-5p	1
ATP-dependent chromatin remodeler activity GO0140658	0.0267594	mmu-miR-10a-5p,mmu-miR-15a-5p,mmu-miR-219a-5p,mmu-miR-190a-5p,mmu-miR-758-3p,mmu-miR-19b-3p,mmu-miR-340-5p,mmu-miR-338-5p,mmu-miR-329-3p,mmu-miR-30e-5p,mmu-miR-10b-5p,mmu-miR-425-5p,mmu-miR-539-3p,mmu-miR-377-3p,mmu-miR-99a-5p,mmu-miR-297a-5p,mmu-miR-665-3p,mmu-miR-339-5p,mmu-miR-1955-5p,mmu-miR-362-3p,mmu-miR-543-3p,mmu-miR-298-5p,mmu-miR-669f-3p,mmu-miR-136-5p,mmu-miR-381-3p,mmu-miR-181b-5p,mmu-miR-466i-3p,mmu-miR-181d-5p,mmu-miR-324-3p,mmu-miR-466q,mmu-miR-126a-5p,mmu-miR-181a-5p,mmu-miR-7b-5p,mmu-miR-3082-5p,mmu-miR-466f-3p,mmu-miR-1946a,mmu-miR-211-5p,mmu-miR-876-5p,mmu-miR-378a-3p,mmu-miR-1199-5p,mmu-miR-1195,mmu-miR-709,mmu-miR-26a-5p,mmu-miR-181c-5p,mmu-miR-204-5p,mmu-let-7b-5p,mmu-miR-9-5p	1
