#Name	P-value	Info	Regulation_direction
1-phosphatidylinositol-3-kinase activity GO0016303	0.0311496	mmu-miR-376c-3p,mmu-miR-15a-5p,mmu-miR-292a-3p,mmu-miR-3087-3p,mmu-miR-342-3p,mmu-miR-672-3p,mmu-miR-873a-5p,mmu-miR-377-3p,mmu-miR-539-3p,mmu-miR-340-5p,mmu-miR-1195,mmu-miR-669c-3p,mmu-miR-1946a,mmu-miR-9-5p,mmu-miR-3110-5p,mmu-miR-425-5p,mmu-miR-212-5p,mmu-miR-466q,mmu-miR-301b-3p,mmu-miR-466f-5p,mmu-miR-466m-3p,mmu-miR-329-3p,mmu-miR-466f-3p,mmu-miR-466i-3p,mmu-miR-5125,mmu-miR-103-3p,mmu-miR-669f-3p,mmu-miR-1981-5p,mmu-miR-3470b,mmu-miR-381-3p,mmu-miR-542-3p,mmu-miR-297b-3p,mmu-miR-362-3p,mmu-miR-324-3p,mmu-miR-129-5p,mmu-miR-297a-5p,mmu-miR-466d-3p,mmu-miR-466c-3p,mmu-miR-466p-3p,mmu-miR-466b-3p,mmu-miR-466a-3p,mmu-miR-466e-3p,mmu-miR-150-5p,mmu-miR-467a-5p	0
1-phosphatidylinositol-4-phosphate 3-kinase activity GO0035005	0.0205552	mmu-miR-376c-3p,mmu-miR-292a-3p,mmu-miR-3087-3p,mmu-miR-1195,mmu-miR-1946a,mmu-miR-9-5p,mmu-miR-3110-5p,mmu-miR-212-5p,mmu-miR-301b-3p,mmu-miR-466f-3p,mmu-miR-5125,mmu-miR-1981-5p,mmu-miR-3470b,mmu-miR-297b-3p,mmu-miR-324-3p,mmu-miR-129-5p,mmu-miR-466d-3p,mmu-miR-466c-3p,mmu-miR-466p-3p,mmu-miR-466b-3p,mmu-miR-466a-3p,mmu-miR-466e-3p,mmu-miR-150-5p,mmu-miR-467a-5p	0
2-5-oligoadenylate synthetase activity GO0001730	0.0011705	mmu-miR-466m-3p,mmu-miR-329-3p,mmu-miR-466f-3p,mmu-miR-466i-3p,mmu-miR-1199-5p,mmu-miR-669f-3p,mmu-miR-297b-3p,mmu-miR-362-3p,mmu-miR-466g,mmu-miR-466d-3p,mmu-miR-466a-3p,mmu-miR-466e-3p	0
3-hydroxyacyl-CoA dehydrogenase activity GO0003857	0.0073767	mmu-miR-376c-3p,mmu-miR-466i-5p,mmu-miR-7b-5p,mmu-miR-329-3p,mmu-miR-466f-3p,mmu-miR-466i-3p,mmu-miR-669f-3p,mmu-miR-466k,mmu-miR-362-3p,mmu-miR-324-3p,mmu-miR-466d-5p,mmu-miR-466n-5p,mmu-miR-669a-5p,mmu-miR-669p-5p,mmu-miR-669f-5p,mmu-miR-17-5p,mmu-miR-669l-5p	0
3-oxoacyl-acyl-carrier-protein synthase activity GO0004315	0.0176892	mmu-miR-466i-5p,mmu-miR-298-5p,mmu-miR-470-5p,mmu-miR-107-3p,mmu-miR-466j,mmu-miR-103-3p,mmu-miR-709,mmu-miR-466m-5p,mmu-miR-669m-5p,mmu-miR-466k,mmu-miR-532-3p,mmu-miR-331-5p,mmu-miR-466d-5p,mmu-miR-466n-5p,mmu-miR-3086-3p,mmu-miR-466h-5p	0
3-sulfino-L-alanine proton, glutamate antiporter activity GO0000514	0.0400933	mmu-miR-466i-5p,mmu-miR-466f,mmu-miR-466j,mmu-miR-466m-5p,mmu-miR-669m-5p,mmu-miR-24-3p,mmu-miR-466k,mmu-miR-466d-5p,mmu-miR-466n-5p,mmu-miR-466h-5p	0
9+0 non-motile cilium GO0097731	0.0214997	mmu-miR-15a-5p,mmu-miR-466i-5p,mmu-miR-26a-5p,mmu-miR-377-3p,mmu-miR-1912-3p,mmu-miR-495-3p,mmu-miR-369-3p,mmu-miR-124-3p,mmu-miR-425-5p,mmu-miR-466j,mmu-miR-301b-3p,mmu-miR-181b-5p,mmu-miR-136-5p,mmu-miR-125b-5p,mmu-miR-181a-5p,mmu-miR-466m-5p,mmu-miR-669m-5p,mmu-miR-466k,mmu-miR-139-5p,mmu-miR-326-3p,mmu-miR-374b-5p,mmu-miR-324-5p,mmu-miR-466d-5p,mmu-miR-466n-5p,mmu-miR-181c-5p,mmu-miR-466h-5p,mmu-miR-466c-3p,mmu-miR-466p-3p,mmu-miR-466b-3p,mmu-miR-181d-5p	0
ADP-specific glucokinase activity GO0043843	0.0482194	mmu-miR-301b-3p,mmu-miR-466n-3p,mmu-miR-24-3p,mmu-miR-466c-5p,mmu-miR-466b-5p,mmu-miR-466o-5p	0
ADP catabolic process GO0046032	0.0198368	mmu-miR-466i-5p,mmu-miR-1187,mmu-miR-511-3p,mmu-miR-181a-5p,mmu-miR-466k,mmu-miR-466e-5p,mmu-miR-466d-5p,mmu-miR-466p-5p,mmu-miR-466a-5p,mmu-miR-1198-5p	0
AMP binding GO0016208	0.0046264	mmu-miR-466i-5p,mmu-miR-34b-5p,mmu-miR-669i,mmu-miR-495-3p,mmu-miR-344e-3p,mmu-miR-1195,mmu-miR-3473d,mmu-miR-669m-3p,mmu-miR-19b-3p,mmu-miR-9-5p,mmu-miR-448-3p,mmu-miR-674-5p,mmu-miR-466j,mmu-miR-466m-3p,mmu-miR-329-3p,mmu-miR-412-3p,mmu-miR-136-5p,mmu-miR-466i-3p,mmu-miR-362-5p,mmu-miR-466n-3p,mmu-miR-410-3p,mmu-miR-1188-5p,mmu-miR-466m-5p,mmu-miR-669m-5p,mmu-miR-669f-3p,mmu-miR-466k,mmu-miR-1983,mmu-miR-139-5p,mmu-miR-297b-3p,mmu-miR-344d-3p,mmu-miR-362-3p,mmu-miR-466d-5p,mmu-miR-466n-5p,mmu-miR-466h-5p,mmu-miR-466d-3p,mmu-miR-466c-3p,mmu-miR-466p-3p,mmu-miR-466b-3p,mmu-miR-466a-3p,mmu-miR-466e-3p	0
