#Name	P-value	Info	Regulation_direction
1-3-beta-D-glucan binding GO0001872	0.0491389	mmu-miR-362-3p,mmu-miR-323-5p,mmu-miR-1188-5p,mmu-miR-466i-5p,mmu-miR-466h-5p,mmu-miR-224-5p,mmu-miR-329-3p,mmu-miR-466j,mmu-miR-342-3p,mmu-miR-466m-5p,mmu-miR-466d-5p,mmu-miR-466n-5p,mmu-miR-669m-5p,mmu-miR-466k,mmu-miR-466i-3p	0
1-3-beta-D-glucan immune receptor activity GO0001874	0.0304663	mmu-miR-362-3p,mmu-miR-323-5p,mmu-miR-1188-5p,mmu-miR-466i-5p,mmu-miR-466h-5p,mmu-miR-329-3p,mmu-miR-466j,mmu-miR-342-3p,mmu-miR-466m-5p,mmu-miR-466d-5p,mmu-miR-466n-5p,mmu-miR-669m-5p,mmu-miR-466k,mmu-miR-466i-3p	0
1-phosphatidylinositol-3-kinase activity GO0016303	0.0018504	mmu-miR-15a-5p,mmu-miR-3087-3p,mmu-miR-301b-3p,mmu-miR-9-5p,mmu-miR-362-3p,mmu-miR-1981-5p,mmu-miR-5125,mmu-miR-340-5p,mmu-miR-212-5p,mmu-miR-542-3p,mmu-miR-103-3p,mmu-miR-377-3p,mmu-miR-376c-3p,mmu-miR-873a-5p,mmu-miR-466f-5p,mmu-miR-1946a,mmu-miR-324-3p,mmu-miR-425-5p,mmu-miR-3110-5p,mmu-miR-129-5p,mmu-miR-1195,mmu-miR-297a-5p,mmu-miR-466q,mmu-miR-329-3p,mmu-miR-539-3p,mmu-miR-381-3p,mmu-miR-3470b,mmu-miR-672-3p,mmu-miR-342-3p,mmu-miR-669c-3p,mmu-miR-466m-3p,mmu-miR-150-5p,mmu-miR-467a-5p,mmu-miR-669f-3p,mmu-miR-466i-3p,mmu-miR-466f-3p,mmu-miR-297b-3p,mmu-miR-466b-3p,mmu-miR-466c-3p,mmu-miR-466p-3p,mmu-miR-466a-3p,mmu-miR-466e-3p,mmu-miR-466d-3p,mmu-miR-292a-3p	0
1-phosphatidylinositol-4-phosphate 3-kinase activity GO0035005	0.0072198	mmu-miR-3087-3p,mmu-miR-301b-3p,mmu-miR-9-5p,mmu-miR-1981-5p,mmu-miR-5125,mmu-miR-212-5p,mmu-miR-376c-3p,mmu-miR-1946a,mmu-miR-324-3p,mmu-miR-3110-5p,mmu-miR-129-5p,mmu-miR-1195,mmu-miR-3470b,mmu-miR-150-5p,mmu-miR-467a-5p,mmu-miR-466f-3p,mmu-miR-297b-3p,mmu-miR-466b-3p,mmu-miR-466c-3p,mmu-miR-466p-3p,mmu-miR-466a-3p,mmu-miR-466e-3p,mmu-miR-466d-3p,mmu-miR-292a-3p	0
2-5-oligoadenylate synthetase activity GO0001730	0.0003539811646875	mmu-miR-362-3p,mmu-miR-1199-5p,mmu-miR-329-3p,mmu-miR-466m-3p,mmu-miR-466g,mmu-miR-669f-3p,mmu-miR-466i-3p,mmu-miR-466f-3p,mmu-miR-297b-3p,mmu-miR-466a-3p,mmu-miR-466e-3p,mmu-miR-466d-3p	0
3-5 DNA helicase activity GO0043138	0.0126043	mmu-miR-5114,mmu-miR-10a-5p,mmu-miR-339-5p,mmu-miR-24-3p,mmu-miR-1964-5p,mmu-miR-876-5p,mmu-miR-708-5p,mmu-miR-139-3p,mmu-miR-466i-5p,mmu-miR-1199-5p,mmu-miR-28a-5p,mmu-miR-490-5p,mmu-miR-324-3p,mmu-miR-7a-5p,mmu-miR-532-3p,mmu-miR-541-5p,mmu-miR-7b-5p,mmu-miR-466h-5p,mmu-miR-3473b,mmu-miR-298-5p,mmu-miR-129-1-3p,mmu-miR-1195,mmu-miR-223-3p,mmu-miR-297a-5p,mmu-miR-10b-5p,mmu-miR-466q,mmu-miR-466j,mmu-miR-101c,mmu-miR-129-2-3p,mmu-miR-709,mmu-miR-669c-3p,mmu-miR-201-5p,mmu-miR-466m-5p,mmu-miR-466d-5p,mmu-miR-466n-5p,mmu-miR-669m-5p,mmu-miR-466k,mmu-miR-669d-5p,mmu-miR-871-5p,mmu-miR-466f-3p	0
3-5 RNA helicase activity GO0034458	0.0160713	mmu-miR-301b-3p,mmu-miR-3074-1-3p,mmu-miR-669m-3p,mmu-miR-297a-5p,mmu-miR-466n-3p,mmu-miR-669f-3p,mmu-miR-297b-3p,mmu-miR-466a-3p,mmu-miR-466e-3p,mmu-miR-466d-3p	0
3-flap-structured DNA binding GO0070337	0.0181345	mmu-miR-466i-5p,mmu-miR-466h-5p,mmu-miR-466j,mmu-miR-466m-5p,mmu-miR-466d-5p,mmu-miR-466n-5p,mmu-miR-669m-5p,mmu-miR-466k,mmu-miR-871-5p	0
3-hydroxyacyl-CoA dehydrogenase activity GO0003857	0.0049900	mmu-miR-17-5p,mmu-miR-362-3p,mmu-miR-376c-3p,mmu-miR-466i-5p,mmu-miR-324-3p,mmu-miR-7b-5p,mmu-miR-329-3p,mmu-miR-466d-5p,mmu-miR-466n-5p,mmu-miR-466k,mmu-miR-669f-5p,mmu-miR-669f-3p,mmu-miR-466i-3p,mmu-miR-669a-5p,mmu-miR-669p-5p,mmu-miR-466f-3p,mmu-miR-669l-5p	0
4 iron, 4 sulfur cluster binding GO0051539	0.0014501	mmu-miR-146a-5p,mmu-miR-10a-5p,mmu-miR-29a-3p,mmu-miR-339-5p,mmu-miR-3064-5p,mmu-miR-29c-3p,mmu-miR-431-5p,mmu-miR-29b-3p,mmu-miR-876-5p,mmu-miR-338-3p,mmu-miR-3082-5p,mmu-miR-146b-5p,mmu-miR-3085-3p,mmu-miR-466i-5p,mmu-miR-1199-5p,mmu-miR-298-5p,mmu-miR-129-1-3p,mmu-miR-669m-3p,mmu-miR-1195,mmu-miR-10b-5p,mmu-miR-466n-3p,mmu-miR-129-2-3p,mmu-miR-709,mmu-miR-346-5p,mmu-miR-335-3p,mmu-miR-466d-5p,mmu-miR-466p-5p,mmu-miR-466a-5p,mmu-miR-1187,mmu-miR-466k,mmu-miR-466c-5p,mmu-miR-669e-5p,mmu-miR-466e-5p,mmu-miR-466o-5p,mmu-miR-466b-5p,mmu-miR-297b-3p,mmu-miR-466a-3p,mmu-miR-466e-3p,mmu-miR-466d-3p	0
