#Name	P-value	Info	Regulation_direction
CENP-A containing chromatin assembly GO0034080	0.0422956	mmu-miR-3066-5p,mmu-miR-466m-3p,mmu-miR-541-5p,mmu-miR-129-5p,mmu-miR-450b-5p,mmu-miR-466d-3p,mmu-miR-466c-3p,mmu-miR-466p-3p,mmu-miR-466b-3p,mmu-miR-466a-3p,mmu-miR-466e-3p,mmu-miR-297b-3p	0
DAPK1-calmodulin complex GO1990722	0.0422956	mmu-miR-5116,mmu-miR-129-5p,mmu-miR-760-5p,mmu-miR-342-3p,mmu-miR-340-5p,mmu-miR-465b-5p	0
DNA demethylation of male pronucleus GO0044727	0.0422956	mmu-miR-466d-3p,mmu-miR-466a-3p,mmu-miR-466e-3p,mmu-miR-297b-3p	0
ERK5 cascade GO0070375	0.0256175	mmu-miR-300-3p,mmu-miR-329-3p,mmu-miR-1a-3p,mmu-miR-466m-3p,mmu-miR-466i-3p,mmu-miR-342-3p,mmu-miR-340-5p,mmu-miR-362-3p,mmu-miR-466f-3p,mmu-miR-466d-3p,mmu-miR-466a-3p,mmu-miR-466e-3p,mmu-miR-155-5p,mmu-miR-425-5p,mmu-miR-297b-3p	0
L-cystine transport GO0015811	0.0124258	mmu-miR-511-3p,mmu-miR-1264-3p,mmu-miR-181a-5p,mmu-miR-329-3p,mmu-miR-410-3p,mmu-miR-30e-5p,mmu-miR-669c-3p,mmu-miR-466i-3p,mmu-miR-466n-3p,mmu-miR-301b-3p,mmu-miR-466q,mmu-miR-344e-3p,mmu-miR-344d-3p,mmu-miR-377-3p,mmu-miR-760-5p,mmu-miR-342-3p,mmu-miR-340-5p,mmu-miR-362-3p,mmu-miR-466f-3p,mmu-miR-466d-3p,mmu-miR-466a-3p,mmu-miR-466e-3p,mmu-miR-425-5p,mmu-miR-124-3p,mmu-miR-669m-3p,mmu-miR-297b-3p	0
L-kynurenine transmembrane transport GO0140924	0.0142938	mmu-miR-511-3p,mmu-miR-1264-3p,mmu-miR-181a-5p,mmu-miR-329-3p,mmu-miR-410-3p,mmu-miR-30e-5p,mmu-miR-466i-3p,mmu-miR-466n-3p,mmu-miR-301b-3p,mmu-miR-344e-3p,mmu-miR-344d-3p,mmu-miR-377-3p,mmu-miR-760-5p,mmu-miR-342-3p,mmu-miR-340-5p,mmu-miR-362-3p,mmu-miR-466d-3p,mmu-miR-466a-3p,mmu-miR-466e-3p,mmu-miR-425-5p,mmu-miR-124-3p,mmu-miR-669m-3p,mmu-miR-297b-3p	0
L-kynurenine transmembrane transporter activity GO0140926	0.0142938	mmu-miR-511-3p,mmu-miR-1264-3p,mmu-miR-181a-5p,mmu-miR-329-3p,mmu-miR-410-3p,mmu-miR-30e-5p,mmu-miR-466i-3p,mmu-miR-466n-3p,mmu-miR-301b-3p,mmu-miR-344e-3p,mmu-miR-344d-3p,mmu-miR-377-3p,mmu-miR-760-5p,mmu-miR-342-3p,mmu-miR-340-5p,mmu-miR-362-3p,mmu-miR-466d-3p,mmu-miR-466a-3p,mmu-miR-466e-3p,mmu-miR-425-5p,mmu-miR-124-3p,mmu-miR-669m-3p,mmu-miR-297b-3p	0
L-phenylalanine transmembrane transporter activity GO0015192	0.0484727	mmu-miR-149-5p,mmu-miR-7b-5p,mmu-miR-324-3p,mmu-miR-329-3p,mmu-miR-466m-3p,mmu-miR-466i-3p,mmu-miR-377-3p,mmu-miR-342-3p,mmu-miR-362-3p,mmu-miR-466f-3p,mmu-miR-466d-3p,mmu-miR-466c-3p,mmu-miR-466p-3p,mmu-miR-466b-3p,mmu-miR-466a-3p,mmu-miR-466e-3p,mmu-miR-297b-3p	0
L-serine-phosphatidylcholine phosphatidyltransferase activity GO0106258	0.0142938	mmu-miR-466m-3p,mmu-miR-466d-3p,mmu-miR-466c-3p,mmu-miR-466p-3p,mmu-miR-466b-3p,mmu-miR-466a-3p,mmu-miR-466e-3p,mmu-miR-297b-3p	0
L-serine-phosphatidylethanolamine phosphatidyltransferase activity GO0106245	0.0142938	mmu-miR-466m-3p,mmu-miR-466d-3p,mmu-miR-466c-3p,mmu-miR-466p-3p,mmu-miR-466b-3p,mmu-miR-466a-3p,mmu-miR-466e-3p,mmu-miR-297b-3p	0
