Taqman miRNA primer name,Our name,miRNA grouping,bs.ChAT,bs.ChAT.1,bs.ChAT.2,bs.Syn,bs.Syn.1,bs.Syn.2,bs.GFAP,bs.GFAP.1,bs.GFAP.2,bs.Lyz2,bs.Lyz2.1,bs.Lyz2.2,sc.ChAT,sc.ChAT.1,sc.ChAT.2,sc.Syn,sc.Syn.1,sc.Syn.2,sc.GFAP,sc.GFAP.1,sc.GFAP.2,sc.Lyz2,sc.Lyz2.1,sc.Lyz2.2,bs.ago.Syn,bs.ago.ChAT,bs.ago.GFAP,bs.ago.Lyz2,sc.ago.Syn,sc.ago.ChAT,sc.ago.GFAP,sc.ago.Lyz2,mean_bs.ChAT,detectable_BS.ChAT,mean_bs.GFAP,detectable_BS.GFAP,mean_bs.Lyz2,detectable_BS.Lyz2,mean_bs.Syn,detectable_BS.Syn,mean_bs.ago,detectable_BS.ago,mean_sc.ChAT,detectable_SC.ChAT,mean_sc.GFAP,detectable_SC.GFAP,mean_sc.Lyz2,detectable_SC.Lyz2,mean_sc.Syn,detectable_SC.Syn,mean_sc.ago,detectable_SC.ago,pSI_BS.ChAT,pSI_BS.GFAP,pSI_BS.Lyz2,pSI_BS.Syn,pSI_BS.ago,pSI_SC.ChAT,pSI_SC.GFAP,pSI_SC.Lyz2,pSI_SC.Syn,pSI_SC.ago,log2FC_ChATvsGFAP_bs,adj.p.value_ChATvsGFAP_bs,log2FC_ChATvsLyz2_bs,adj.p.value_ChATvsLyz2_bs,log2FC_ChATvsSyn_bs,adj.p.value_ChATvsSyn_bs,log2FC_ChATvsago_bs,adj.p.value_ChATvsago_bs,log2FC_GFAPvsLyz2_bs,adj.p.value_GFAPvsLyz2_bs,log2FC_GFAPvsSyn_bs,adj.p.value_GFAPvsSyn_bs,log2FC_GFAPvsago_bs,adj.p.value_GFAPvsago_bs,log2FC_Lyz2vsSyn_bs,adj.p.value_Lyz2vsSyn_bs,log2FC_Lyz2vsago_bs,adj.p.value_Lyz2vsago_bs,log2FC_Synvsago_bs,adj.p.value_Synvsago_bs,log2FC_ChATvsGFAP_sc,adj.p.value_ChATvsGFAP_sc,log2FC_ChATvsLyz2_sc,adj.p.value_ChATvsLyz2_sc,log2FC_ChATvsSyn_sc,adj.p.value_ChATvsSyn_sc,log2FC_ChATvsago_sc,adj.p.value_ChATvsago_sc,log2FC_GFAPvsLyz2_sc,adj.p.value_GFAPvsLyz2_sc,log2FC_GFAPvsSyn_sc,adj.p.value_GFAPvsSyn_sc,log2FC_GFAPvsago_sc,adj.p.value_GFAPvsago_sc,log2FC_Lyz2vsSyn_sc,adj.p.value_Lyz2vsSyn_sc,log2FC_Lyz2vsago_sc,adj.p.value_Lyz2vsago_sc,log2FC_Synvsago_sc,adj.p.value_Synvsago_sc,Family Conservation?,pSI_BS.vs_non_neuron.Syn,pSI_SC.vs_non_neuron.Syn,pSI_BS.vs_non_neuron.ChAT,pSI_SC.vs_non_neuron.ChAT,0957 Ntg bs,0357 Ntg bs,0424 Ntg bs,0957 Ntg sc,0357 Ntg sc,424 Ntg sc
hsa_let_7b_002404,let-7b-3p,let-7,28.7126638933002,29.9747547157275,32.6139712915373,38.2249669028025,33.0075210960196,31.2899640338347,29.644182431036,30.7053011600076,31.3545509934028,35.0608557219243,32.4899326407951,29.3823117536548,32.0042197481563,29.1693193625629,31.4645041340322,34.7352013468878,31.491969420896,41.9886019113048,37.9841222498691,30.9845057880042,36.0920170313366,27.5390432140208,36.3682359459186,29.8932956528749,44.5041287244788,44.2858852521625,44.3815785341555,44.3354061549662,38.2577741266607,31.0447697575411,41.3106693274408,32.7743926872303,30.433796633521666,TRUE,30.5680115281488,TRUE,32.31103337212473,TRUE,34.17415067755227,TRUE,44.37674966644075,FALSE,30.879347748250467,TRUE,35.020215023069966,FALSE,31.2668582709381,TRUE,36.07192422636287,FALSE,35.84690147471822,FALSE,0.1380497311827957,0.12426639344262295,0.5420417867435159,0.7569684931506849,NA,0.09245762711864407,NA,0.22330321782178217,NA,NA,0.134214894627178,0.980375573728844,1.87723673860315,0.730028186649351,3.74035404403067,0.409862968858599,13.9429530329191,1.11647783804344e-4,1.74302184397597,0.710861843608446,3.60613914940349,0.382552572171921,13.808738138292,1.71626824977934e-4,1.86311730542752,0.671311317834744,12.065716294316,4.5813381617043e-4,10.2025989888885,0.00756776294159953,4.14086727481951,0.298977670163366,0.387510522687613,0.956615421270568,5.1925764781124,0.227017456790007,4.96755372646774,0.143737668762812,-3.7533567521319,0.323984794050664,1.05170920329289,0.793682496491239,0.826686451648229,0.847741802244405,4.80506595542479,0.184434388411057,4.58004320378013,0.172704988430237,-0.225022751644666,0.970888120783916,-1,0.9455710382513661,NA,0.37618632707774796,0.28678591549295773,40,40,39.89946,40,40,40
hsa_let_7e_002407,let-7e-3p,let-7,32.1278750174649,29.7327915911728,27.673987369997,30.9285681174506,29.922731405121,30.2971121452408,32.0697474724264,29.3208579935406,30.0657738912324,28.432917680162,31.1927869115455,28.8455568026136,30.3985832606883,31.2266649710578,31.2410768649277,31.5468410972668,31.08160463526,31.3702132205127,30.4517686493057,30.1848615466278,30.8204752657245,29.1518227238095,28.8921570042524,32.1475585787927,31.1743092312421,30.7793005084692,30.706544854662,30.0833855336772,29.5469683331249,30.9336676720069,30.1059032046997,30.3940798418379,29.8448846595449,TRUE,30.485459785733134,TRUE,29.4904204647737,TRUE,30.3828038892708,TRUE,30.685885032012624,TRUE,30.955441698891267,TRUE,30.485701820552666,TRUE,30.063846102284867,TRUE,31.332886317679833,TRUE,30.245154762917352,TRUE,0.4463870967741935,0.7094836065573771,0.4466657060518732,0.6204383561643836,0.7270718157181572,0.6058008474576271,0.6367366946778712,0.4668242574257426,0.8067737127371274,0.4161606648199446,0.640575126188221,0.670400001856744,-0.354464194771207,0.911436448407346,0.537919229725869,0.782376136709927,0.841000372467693,0.492463043282576,-0.995039320959428,0.473283751473693,-0.102655896462352,0.96490706128191,0.200425246279473,0.922594273914626,0.892383424497076,0.511544105857215,1.1954645672389,0.294613695286501,0.303081142741824,0.884193714311491,-0.46973987833859,0.835793767859777,-0.891595596606383,0.557958391104845,0.377444618788569,0.867814345830574,-0.710286935973922,0.574218450301455,-0.421855718267793,0.809674376322043,0.847184497127159,0.501152298368103,-0.240547057635332,0.872534761332235,1.26904021539495,0.317689266629344,0.18130866063246,0.91219572276846,-1.08773155476249,0.48620195302516,-1,0.5956939890710382,0.7418891891891892,0.5308364611260054,0.6486380281690141,40,35.676,40,40,35.628853,40
hsa_let_7f_1_002417,let-7f-1-3p,let-7,37.165410467211,38.704452280335,38.4041881075047,34.665190946921,39.5665342787482,38.5475317484469,33.3153058935094,31.6086910871373,38.8006712980101,38.2706192264692,38.3543668192887,38.338189914166,38.4867129456539,34.2543607439844,38.221528463812,34.4181742813564,34.2300259098668,33.8694642007977,38.5391857895236,32.369261857531,38.6633405777833,38.2299555920215,38.4199894683662,37.5080043123742,38.4003926382039,40.3901301446258,41.070437950978,36.4265759535059,40.7848043196175,37.4954975657586,37.7487392415908,40.8832760125769,38.0913502850169,FALSE,34.57488942621893,TRUE,38.321058653307965,FALSE,37.5930856580387,FALSE,39.0718841718284,FALSE,36.9875340511501,FALSE,36.5239294082793,FALSE,38.05264979092063,FALSE,34.1725547973403,TRUE,39.22807928488595,FALSE,NA,0.020478142076502732,NA,NA,NA,NA,NA,NA,0.02714769647696477,NA,-3.51646085879797,0.135241615785255,0.229708368291085,0.996187474616096,-0.498264626978219,0.906946213627977,0.980533886811507,0.708290018758021,3.74616922708906,0.127651874513406,3.01819623181975,0.237064873526176,4.49699474560948,0.037532709306727,-0.727972995269305,0.816962991304025,0.750825518520422,0.761428872044498,1.47879851378973,0.696439335865947,-0.463604642870813,0.945453292505073,1.06511573977053,0.766601207230913,-2.8149792538098,0.34285340163942,2.24054523373584,0.332068402015285,1.52872038264135,0.571203567490658,-2.35137461093898,0.316284131634104,2.70414987660666,0.221157936586887,-3.88009499358033,0.0947077580236959,1.17542949396531,0.629145599371414,5.05552448754564,0.0459653522450596,-1,NA,0.10566891891891891,NA,NA,40,40,40,40,40,40
hsa_let_7i_002172,let-7i-3p,let-7,34.9387411667141,36.4013929438985,34.2660155977362,34.4623265332506,34.4967380904382,35.6816021103923,32.9733075623848,31.9810717271447,30.0955026483716,33.5951730449609,33.9417682700602,34.0144942200084,32.2151663145494,34.941511266715104,33.2584674314578,34.3326000718351,34.3787189320311,36.8282345035153,30.5063333826363,32.0726993401566,29.9344760029895,34.533363677124,35.0848264256756,33.9518986756019,34.1955768135952,34.4459613333273,34.6864510642595,34.2664548005695,33.108082532409,33.3482601237406,33.9780875973786,34.0038581042629,35.20204990278293,FALSE,31.683293979300366,TRUE,33.8504785116765,FALSE,34.8802222446937,TRUE,34.398611002937876,TRUE,33.47171500424077,TRUE,30.837836241927466,TRUE,34.523362926133835,TRUE,35.17985116912717,FALSE,33.609572089447774,TRUE,NA,0.04495491803278689,NA,0.7798479452054794,0.6376531165311653,0.4596920903954802,0.06805602240896358,0.8061076732673267,NA,0.5159501385041552,-3.51875592348253,7.8741430582476e-4,-1.35157139110643,0.236059422792909,-0.321827658089241,0.857671609292992,-0.803438899845048,0.432234664256943,2.16718453237609,0.0415953144000382,3.19692826539329,0.00345735505374049,2.71531702363748,0.00543943795520861,1.02974373301719,0.348466670078612,0.548132491261384,0.59530894046258,-0.481611241755807,0.782987495778024,-2.63387876231329,0.00858449874617674,1.05164792189306,0.362825915582643,1.7081361648864,0.159307929838603,0.137857085206974,0.907388049494552,3.68552668420635,4.75429120108223e-4,4.34201492719968,6.09707542226558e-5,2.77173584752026,0.00340507012773047,0.656488242993333,0.563345537644395,-0.91379083668609,0.351377919011255,-1.57027907967942,0.175147778273436,-1,0.89075,NA,NA,0.6120746478873239,40,40,40,40,40,40
hsa_miR_106b_002380,miR-106b-3p,miR-106,31.0164423937971,30.9518775553658,33.3135218237784,26.6586222869409,27.7688142325599,27.5815238921006,28.2621610152102,28.3002223903324,29.0193753193992,31.4345226998527,31.0170515262791,33.1374214875853,29.0638913418875,30.5036427142057,32.8837618139003,25.6636680578075,27.064551836195,28.4720497344248,29.2148393579788,26.055764881833,27.4564352609859,29.526550257438,28.8819022652788,31.5530989959784,28.2500355240533,27.8993582827589,27.8846792314382,27.0718913487922,28.0144629560961,26.176236846042,26.5691353111605,26.7493244584227,31.760613924313766,TRUE,28.527252908313933,TRUE,31.862998571239032,FALSE,27.336320137200467,TRUE,27.77649109676065,TRUE,30.817098623331166,TRUE,27.57567983359923,TRUE,29.987183839565066,TRUE,27.0667565428091,TRUE,26.877289892930325,TRUE,0.9350967741935484,0.4169357923497268,NA,0.11596712328767124,0.21741869918699186,0.9550734463276837,0.45473669467787114,0.9160965346534653,0.20694444444444443,0.1838905817174515,-3.23336101599979,0.00946099081031319,0.102384646925294,0.996187474616096,-4.42429378711331,0.00125309216629216,-3.98412282755311,9.74196690342053e-4,3.33574566292509,0.0109309157924799,-1.19093277111351,0.416767741408891,-0.750761811553318,0.600300108187315,-4.5266784340386,5.60178014658173e-4,-4.08650747447841,6.79325614816757e-4,0.440170959560195,0.853099926830674,-3.24141878973195,0.00865075330991986,-0.829914783766089,0.616037698066799,-3.75034208052208,0.00685766261698983,-3.93980873040088,0.00122015681571081,2.41150400596586,0.0540581140717945,-0.508923290790136,0.713902426117458,-0.698389940668935,0.601171909236514,-2.92042729675599,0.0216024182649725,-3.10989394663479,0.0081465778315248,-0.189466649878799,0.920667194696161,-1,0.12552185792349727,0.1995,0.7456099195710456,0.8111,40,40,40,40,40,40
hsa_miR_10a_002288,miR-10a-3p,miR-10,36.4946277185178,38.5116684059466,38.357110446054,39.9105003915824,39.688142986197,38.6856793424213,38.6124832011382,38.8005322253046,38.3377354253684,38.5000002311571,38.6327746449611,38.5255257473448,30.7025634253691,36.3062592882463,38.1568969663478,38.779203373986,33.9099634484863,35.4888240809682,31.852029526257,36.5163280034698,36.7983532993616,38.4252449900806,38.5119534650603,34.3694980220858,38.1861807457668,38.6867624931554,38.9163882647247,38.7547343621744,37.489453461863,40.8903988694061,37.0888404915787,36.5764292315988,37.7878021901728,FALSE,38.5835836172704,FALSE,38.552766874487666,FALSE,39.42810757340023,FALSE,38.636016466455324,FALSE,35.055239893321065,FALSE,35.0555702763628,FALSE,37.10223215907557,FALSE,36.05933030114684,FALSE,38.01128051361165,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.795781427097587,0.769744056411364,0.764964684314876,0.857953611254057,1.64030538322743,0.557980826686437,0.848214276282541,0.714078855702434,-0.0308167427827115,0.990926413464711,0.844523956129841,0.771497461040506,0.0524328491849532,0.986601419535062,0.875340698912552,0.753416338959449,0.0832495919676646,0.972909422370707,-0.792091106944888,0.843486460636547,3.30383041720823e-4,0.999832542446235,2.0469922657545,0.390003672630692,1.00409040782575,0.758998899351648,2.95604062029057,0.13520272453873,2.04666188271278,0.366693782462568,1.00376002478403,0.659355425422864,2.95571023724885,0.128459077325614,-1.04290185792875,0.672909467764687,0.909048354536075,0.687377497625341,1.95195021246482,0.456878012856344,-1,NA,NA,NA,NA,40,40,40,40,40,40
hsa_miR_1197_002810,miR-1197-3p,miR-1197,29.571249347796,35.6190355474254,29.1215081271268,32.5226732151774,32.5112887231457,33.4168027233349,37.2434953956903,33.0167518587674,36.4298136355867,33.4371077833942,34.0469095023781,33.7363710772221,30.6771292541327,31.4185181140951,35.3000684721888,33.1835568455474,32.6278457879424,33.3398432367131,35.5383847272899,36.1346437004646,36.2153710351292,34.7001597243497,35.0171873075143,33.6304231632386,36.1834592166852,35.4047275414295,35.3406242027216,35.404185457769,35.1784143916374,35.3497536554481,35.0169552060096,34.2918453763024,31.437264340782733,TRUE,35.5633536300148,FALSE,33.740129454331466,FALSE,32.816921553886,TRUE,35.58324910465133,FALSE,32.4652386134722,TRUE,35.96279982096124,FALSE,34.44925673170087,TRUE,33.05041529006763,TRUE,34.95924215734937,TRUE,0.08342338709677419,NA,NA,0.3252013698630137,NA,0.1677867231638418,NA,0.7006720297029703,0.29968563685636856,0.7970027700831025,4.12608928923207,0.0111213143679133,2.30286511354874,0.207313148422587,1.37965721310327,0.528065086318319,4.14598476386858,0.0068232984592565,-1.82322417568332,0.315171402304054,-2.7464320761288,0.111521996366689,0.0198954746365131,0.990760649092488,-0.923207900445476,0.637947086059671,1.84311965031984,0.223504282556809,2.76632755076531,0.14695886035457,3.49756120748908,0.030970777789133,1.9840181182287,0.279878376983813,0.585176676595495,0.838966758259277,2.49400354387722,0.109241142631398,-1.51354308926038,0.401431893874063,-2.91238453089359,0.0649256953703432,-1.00355766361186,0.557656383674121,-1.39884144163321,0.434485458814591,0.509985425648516,0.786573480249405,1.90882686728173,0.326445462800065,1,0.23002322404371583,0.22303378378378377,0.12141823056300267,0.16131971830985917,40,40,40,40,40,40
hsa_miR_124_002197,miR-124-5p,miR-124,35.412424984936,36.536798780013,28.1527581931819,36.3291400350038,34.818097738544,35.9368677086962,32.8508900468517,37.4045797205533,36.2926583002205,35.1144687533821,35.0984081898112,34.8636579763873,35.7977280750103,34.9507961129973,35.5218053348776,37.3858673658059,34.4092573909885,40.0017458947274,35.553597180554,36.0245303909475,35.9477362960008,35.5080390799456,35.5982454429932,35.0407504383509,31.8258588357893,30.7470049901087,31.7973550182652,29.428243879165,33.0433837554633,33.1506074507369,34.2886987802985,32.8488191749797,33.36732731937697,FALSE,35.516042689208504,FALSE,35.0255116398602,FALSE,35.69470182741467,FALSE,30.94961568083205,TRUE,35.423443174295066,FALSE,35.841954622500765,FALSE,35.382344987096566,FALSE,37.265623550507264,FALSE,33.3328772903696,TRUE,NA,NA,NA,NA,0.02150677506775068,NA,NA,NA,NA,0.09380470914127424,2.14871536983158,0.297250744756554,1.6581843204833,0.50404698015842,2.32737450803774,0.343110261185378,-2.4177116385449,0.195543816976022,-0.490531049348277,0.875305840588276,0.178659138206164,0.963054889391221,-4.56642700837648,0.0144664709215166,0.669190187554442,0.810171063162862,-4.0758959590282,0.0221668421272903,-4.74508614658264,0.0256672396418546,0.418511448205685,0.943105240527363,-0.0410981871985427,0.986173876649624,1.84218037621219,0.500716871500809,-2.09056588392548,0.285786728903301,-0.459609635404227,0.887258111473791,1.42366892800651,0.48529610179764,-2.50907733213116,0.176876727001831,1.88327856341073,0.366055636264955,-2.04946769672694,0.278304942008569,-3.93274626013767,0.0707983072324262,-1,NA,NA,NA,NA,40,40,40,40,40,40
hsa_miR_127_5p_002229,miR-127-5p,miR-127,34.7665555904364,32.5519892505069,34.1060730605035,33.1874363956177,33.7034655511135,33.3108760124522,36.8499627382679,32.3902031412981,34.8290805160253,32.8500305596607,33.615660651101,33.3233110536463,31.0715251871559,32.2592075128996,30.9520884217329,33.4337114975118,31.3475604973494,32.8259793231294,35.3098228528098,34.1875700936938,35.9113351576008,34.4312747550728,34.8184137232578,33.096339589997,35.0830699310004,34.8419160150054,34.3464846723222,34.7425793770541,35.6336600669063,34.9374520058829,34.4977495392766,34.3078285473912,33.80820596714893,FALSE,34.68974879853043,TRUE,33.26300075480267,FALSE,33.40059265306113,TRUE,34.753512498845524,TRUE,31.427607040596133,TRUE,35.13624270136813,FALSE,34.115342689442535,TRUE,32.5357504393302,TRUE,34.84417253986425,TRUE,NA,0.7814071038251366,NA,0.3193013698630137,0.8339647696476965,0.07702118644067797,NA,0.750664603960396,0.3169579945799458,0.8658781163434903,0.881542831381452,0.446659831674549,-0.545205212346318,0.73868000625993,-0.407613314087811,0.813383107992123,0.945306531696552,0.36582243170819,-1.42674804372777,0.207526403821481,-1.28915614546926,0.277620008796883,0.0637637003150999,0.966408752742718,0.137591898258506,0.937470271278539,1.49051174404287,0.119988986112808,1.35291984578436,0.309459941209987,3.70863566077202,5.11006439224815e-4,2.68773564884641,0.0168723701016318,1.10814339873404,0.436577248343908,3.41656549926811,8.89460277248965e-4,-1.02090001192561,0.377828544714326,-2.60049226203797,0.0109349704203575,-0.292070161503908,0.813198765580154,-1.57959225011236,0.137763625445211,0.728829850421704,0.492439977866941,2.30842210053407,0.0459653522450596,-1,0.4413524590163934,0.21197702702702703,NA,0.1017056338028169,40,40,40,40,40,40
hsa_miR_140_3p_002234,miR-140-3p,miR-140,28.8764337648721,29.428995071426,29.3720811836834,27.827321584104,27.8073939180211,27.7331243694407,27.135281445723,28.0826132746542,27.8403141602665,28.5314613808409,27.7541219936429,29.2281138705894,29.2727958457715,27.7118840482807,30.0009501018787,28.9870953289645,27.1285002640198,28.0807168181538,27.9660128163459,27.5525567055574,27.9909151467228,29.2348416938785,27.5254007976908,28.1108860293955,27.6287224080733,27.9801606015662,27.2585671633298,27.1620742873842,27.4522511204513,29.0853539465787,27.715466120169,26.7982386332059,29.225836673327166,TRUE,27.686069626881235,TRUE,28.504565748357734,TRUE,27.789279957188597,TRUE,27.507381115088375,TRUE,28.995209998643634,TRUE,27.83649488954203,TRUE,28.290376173654934,TRUE,28.065437470379365,TRUE,27.762827455101224,TRUE,0.8542970430107527,0.521233606557377,0.7417521613832853,0.4353780821917808,0.34353252032520326,0.7881793785310734,0.5976470588235294,0.6362549504950495,0.49364634146341463,0.4131939058171745,-1.53976704644592,0.0472892675682477,-0.721270924969421,0.452082715027985,-1.43655671613855,0.103343159802257,-1.71845555823877,0.0181576020936224,0.818496121476496,0.355335734159858,0.103210330307366,0.938181577292193,-0.178688511792853,0.880925878688425,-0.71528579116913,0.402074632822717,-0.997184633269349,0.164453725158425,-0.281898842100219,0.85220215529061,-1.15871510910161,0.156394334877497,-0.704833824988718,0.444988211053729,-0.92977252826427,0.359733092441907,-1.23238254354241,0.0966622126482307,0.453881284112896,0.638775156009036,0.228942580837344,0.794056744667243,-0.0736674344408001,0.940077414013997,-0.224938703275551,0.838549519497579,-0.527548718553696,0.507793803702132,-0.302610015278145,0.790026266534723,2,0.44481420765027324,0.5210972972972973,0.7212050938337802,0.6838732394366197,39.518818,40,40,40,40,40
