RNA 	    colour_R	colour
tRNA-Phe-GAA-1-1 	    #000000 	    #000000
tRNA-Phe-GAA-1-2 	    #000000 	    #000000
tRNA-Phe-GAA-1-3 	    #000000 	    #000000
tRNA-Phe-GAA-1-4 	    #000000 	    #000000
tRNA-Phe-GAA-1-5 	    #000000 	    #000000
tRNA-Trp-CCA-5-1 	    #000000 	    #000000
tRNA-Trp-CCA-2-1 	    #000000 	    #000000
tRNA-Arg-CCG-3-1 	    #000000 	    #000000
tRNA-Arg-TCG-1-1 	    #000000 	    #000000
tRNA-Glu-TTC-1-1 	    #000000 	    #000000
tRNA-Glu-TTC-1-2 	    #000000 	    #000000
tRNA-Glu-TTC-1-3 	    #000000 	    #000000
tRNA-Glu-TTC-1-4 	    #000000 	    #000000
tRNA-Glu-TTC-2-1 	    #000000 	    #000000
tRNA-Glu-TTC-2-2 	    #000000 	    #000000
tRNA-Glu-TTC-3-1 	    #000000 	    #000000
tRNA-Glu-TTC-3-2 	    #000000 	    #000000
tRNA-Lys-CTT-2-1 	    #000000 	    #000000
tRNA-Lys-CTT-2-2 	    #000000 	    #000000
tRNA-Thr-AGT-2-1 	    #000000 	    #000000
tRNA-Thr-AGT-3-1 	    #000000 	    #000000
tRNA-Leu-CAA-3-1 	    #000000 	    #000000
tRNA-Ala-AGC-3-1 	    #000000 	    #000000
tRNA-Ala-AGC-8-1 	    #000000 	    #000000
tRNA-Ala-CGC-1-1 	    #000000 	    #000000
tRNA-Ala-CGC-1-2 	    #000000 	    #000000
tRNA-Ala-CGC-2-1 	    #000000 	    #000000
tRNA-Ala-TGC-2-1 	    #000000 	    #000000
tRNA-Ala-TGC-3-1 	    #000000 	    #000000
tRNA-Ala-TGC-4-1 	    #000000 	    #000000
tRNA-Ala-TGC-7-1 	    #000000 	    #000000
tRNA-Ala-TGC-7-2 	    #000000 	    #000000
tRNA-Ala-TGC-8-1 	    #000000 	    #000000
tRNA-Arg-CCT-1-1 	    #000000 	    #000000
tRNA-Arg-CCT-3-1 	    #000000 	    #000000
tRNA-Arg-CCT-4-1 	    #000000 	    #000000
tRNA-Asp-GTC-2-1 	    #000000 	    #000000
tRNA-Lys-TTT-1-1 	    #000000 	    #000000
tRNA-Lys-TTT-1-2 	    #000000 	    #000000
tRNA-Lys-TTT-1-3 	    #000000 	    #000000
tRNA-Lys-TTT-1-4 	    #000000 	    #000000
tRNA-Lys-TTT-1-5 	    #000000 	    #000000
tRNA-Lys-TTT-1-6 	    #000000 	    #000000
tRNA-Val-AAC-1-1 	    #000000 	    #000000
tRNA-Val-AAC-1-2 	    #000000 	    #000000
tRNA-Ala-CGC-5-1 	    #000000 	    #000000
tRNA-Asn-GTT-1-1 	    #000000 	    #000000
tRNA-Asn-GTT-3-1 	    #000000 	    #000000
tRNA-Asn-GTT-3-2 	    #000000 	    #000000
tRNA-Asn-GTT-3-3 	    #000000 	    #000000
tRNA-Asn-GTT-3-4 	    #000000 	    #000000
tRNA-Asn-GTT-3-5 	    #000000 	    #000000
tRNA-Asn-GTT-3-6 	    #000000 	    #000000
tRNA-Asn-GTT-3-7 	    #000000 	    #000000
tRNA-Asn-GTT-3-8 	    #000000 	    #000000
tRNA-Asn-GTT-3-9 	    #000000 	    #000000
tRNA-Phe-GAA-1-3 	    #000000 	    #000000
